CaseMasterID,CrimeNo,CaseNo,CrimeRegisteredDate,PolicePersonID,PoliceStationID,CaseCategoryID,GravityOffenceID,CrimeMajorHeadID,CrimeMinorHeadID,CaseStatusID,CourtID,IncidentFromDate,IncidentToDate,InfoReceivedPSDate,latitude,longitude,BriefFacts
11,304460025202600001,202600001,2025-05-02,406,25,2,3,3,16,1,,2025-04-30T02:21:15,2025-04-30T03:35:15,2025-05-02T01:21:15,12.851963,74.898638,"The complainant Qadim Pall reported that on 2025-04-30 at about 02:21 hours, Jairaj Bora, Tanveer Naik and Daksh Sachdev committed an offence of assault on woman involving Qadim Pall within the limits of Dakshina Market PS, Dakshina Kannada. A case has been registered under Section 354 IPC and investigation is in progress at Dakshina Market PS."
12,104550081202600001,202600001,2026-03-24,760,81,1,1,2,11,1,,2026-03-22T15:01:31,2026-03-22T17:55:31,2026-03-23T05:01:31,13.478046,74.735449,"The complainant Vaishnavi Dhingra reported that on 2026-03-22 at about 15:01 hours, Naveen Padmanabhan and Michael Gara committed an offence of dacoity involving Anthony Kaur within the limits of Udupi North PS, Udupi. A case has been registered under Section 395 IPC and investigation is in progress at Udupi North PS."
13,104560090202600001,202600001,2025-08-10,420,90,1,1,1,2,2,42,2025-08-08T05:57:14,2025-08-08T09:57:14,2025-08-09T22:57:14,12.908477,76.276075,"The complainant Dayita Bhagat reported that on 2025-08-08 at about 05:57 hours, Jagdish Gandhi and Udant Dutta committed an offence of attempt to murder involving Ethan Mani within the limits of Hassan South PS, Hassan. Victims were flagged down near ATM kiosks with a currency-exchange ruse before the snatch. A case has been registered under Section 307 IPC and investigation is in progress at Hassan South PS."
14,104550084202600001,202600001,2026-01-25,809,84,1,3,4,19,2,39,2026-01-22T06:52:49,2026-01-22T10:22:49,2026-01-24T21:52:49,13.276039,74.746614,"The complainant Umang Sinha reported that on 2026-01-22 at about 06:52 hours, Advay Dass and Pavani Choudhry committed an offence of forgery involving Umang Sinha within the limits of Udupi West PS, Udupi. A case has been registered under Section 468 IPC and investigation is in progress at Udupi West PS."
15,304460026202600001,202600001,2025-07-25,313,26,2,3,5,24,1,,2025-07-25T01:30:30,2025-07-25T02:57:30,2025-07-25T15:30:30,12.979192,74.867412,"The complainant Harsh Virk reported that on 2025-07-25 at about 01:30 hours, Noah Kadakia committed an offence of gambling involving Harsh Virk within the limits of Dakshina Town PS, Dakshina Kannada. A case has been registered under Section 87 KP and investigation is in progress at Dakshina Town PS."
16,104480033202600002,202600002,2026-04-22,659,33,1,3,5,24,1,,2026-04-19T20:03:25,2026-04-19T21:37:25,2026-04-21T21:03:25,17.31644,76.783835,"The complainant Warhi Dhaliwal reported that on 2026-04-19 at about 20:03 hours, Banjeet Dhingra and Kalpit Dugal committed an offence of gambling involving Raghav Vyas within the limits of Kalaburagi City PS, Kalaburagi. A case has been registered under Section 87 KP and investigation is in progress at Kalaburagi City PS."
17,104430005202600001,202600001,2025-08-31,754,5,1,2,1,4,2,3,2025-08-28T00:36:03,2025-08-28T03:45:03,2025-08-30T02:36:03,12.947865,77.579255,"The complainant Avi Shroff reported that on 2025-08-28 at about 00:36 hours, Joshua Garde and Lucky Iyer committed an offence of grievous hurt involving Bahadurjit Rama within the limits of Bengaluru East PS, Bengaluru Urban. A case has been registered under Section 325 IPC and investigation is in progress at Bengaluru East PS."
18,104430003202600001,202600001,2025-06-01,837,3,1,3,4,20,2,1,2025-05-28T13:45:56,2025-05-28T15:20:56,2025-05-31T11:45:56,12.932469,77.672736,"The complainant Madhav Raju reported that on 2025-05-28 at about 13:45 hours, Pranit Chokshi committed an offence of criminal breach of trust involving Sachi Trivedi within the limits of Bengaluru North PS, Bengaluru Urban. A case has been registered under Section 406 IPC and investigation is in progress at Bengaluru North PS."
19,804550083202600001,202600001,2026-02-10,406,83,4,1,1,3,4,,2026-02-07T03:34:41,2026-02-07T04:12:41,2026-02-09T13:34:41,13.295474,74.770087,"The complainant Idika Issac reported that on 2026-02-07 at about 03:34 hours, Nakul Sundaram committed an offence of culpable homicide involving Alka Baral within the limits of Udupi East PS, Udupi. A case has been registered under Section 304 IPC and investigation is in progress at Udupi East PS."
20,104510053202600001,202600001,2025-05-19,851,53,1,2,2,8,1,,2025-05-14T15:20:39,2025-05-14T15:50:39,2025-05-17T11:20:39,16.897528,75.72528,"The complainant Matthew Keer reported that on 2025-05-14 at about 15:20 hours, Michael Nath, Shravya Dugar and Oscar Pandey committed an offence of motor vehicle theft involving Bhavani Kurian within the limits of Vijayapura West PS, Vijayapura. A case has been registered under Section 379 IPC, Section 381 IPC and investigation is in progress at Vijayapura West PS."
21,104530069202600001,202600001,2025-06-16,41,69,1,3,5,23,1,,2025-06-12T20:30:44,2025-06-12T22:35:44,2025-06-14T08:30:44,13.502922,77.058359,"The complainant Alexander Mammen reported that on 2025-06-12 at about 20:30 hours, Sai Thaman committed an offence of excise involving Alexander Mammen within the limits of Tumakuru Town PS, Tumakuru. A case has been registered under Section 32 KE and investigation is in progress at Tumakuru Town PS."
22,404550086202600001,202600001,2025-03-15,692,86,3,3,3,15,5,37,2025-03-12T19:19:43,2025-03-12T19:29:43,2025-03-14T22:19:43,13.374521,74.810413,"The complainant Ishaan Sahni reported that on 2025-03-12 at about 19:19 hours, Faqid Om and Ekapad Chahal committed an offence of cruelty by husband involving Faraj Sandhu within the limits of Udupi Market PS, Udupi. A case has been registered under Section 498A IPC and investigation is in progress at Udupi Market PS."
23,104480035202600001,202600001,2025-03-26,220,35,1,3,4,19,1,,2025-03-24T01:08:55,2025-03-24T02:10:55,2025-03-24T03:08:55,17.251763,76.849106,"The complainant Upasna Dhillon reported that on 2025-03-24 at about 01:08 hours, Harshil Devi and Ekapad More committed an offence of forgery involving Nathan Bir within the limits of Kalaburagi North PS, Kalaburagi. A case has been registered under Section 468 IPC and investigation is in progress at Kalaburagi North PS."
24,104440010202600001,202600001,2025-06-07,478,10,1,2,1,5,1,,2025-06-07T07:49:05,2025-06-07T08:42:05,2025-06-07T17:49:05,13.282432,77.635694,"The complainant Tripti Mitter reported that on 2025-06-07 at about 07:49 hours, Amruta Nagar committed an offence of hurt involving Laksh Doshi within the limits of Bengaluru City PS, Bengaluru Rural. A case has been registered under Section 323 IPC and investigation is in progress at Bengaluru City PS."
25,104430007202600001,202600001,2025-11-28,467,7,1,3,4,18,1,,2025-11-25T06:30:52,2025-11-25T07:11:52,2025-11-26T08:30:52,12.943142,77.711314,"The complainant Amara Loke reported that on 2025-11-25 at about 06:30 hours, Dev Deep and Chatresh Deep committed an offence of cheating involving Amara Loke within the limits of Bengaluru Central PS, Bengaluru Urban. A case has been registered under Section 420 IPC and investigation is in progress at Bengaluru Central PS."
26,104510051202600001,202600001,2026-03-01,1119,51,1,3,3,16,3,,2026-02-27T09:13:27,2026-02-27T12:23:27,2026-02-28T18:13:27,16.8899,75.697886,"The complainant Praneel Buch reported that on 2026-02-27 at about 09:13 hours, Samaksh Bora and Kala Kashyap committed an offence of assault on woman involving Ekalinga Thakkar within the limits of Vijayapura South PS, Vijayapura. A case has been registered under Section 354 IPC and investigation is in progress at Vijayapura South PS."
27,304460025202600002,202600002,2025-06-27,406,25,2,1,1,6,5,11,2025-06-24T11:26:29,2025-06-24T11:31:29,2025-06-26T23:26:29,12.974754,74.790328,"The complainant Gautami Hans reported that on 2025-06-24 at about 11:26 hours, Yatan Som committed an offence of kidnapping involving Anamika Rege within the limits of Dakshina Market PS, Dakshina Kannada. A case has been registered under Section 363 IPC, Section 365 IPC and investigation is in progress at Dakshina Market PS."
28,104530064202600001,202600001,2025-11-10,699,64,1,1,2,10,2,31,2025-11-07T17:17:14,2025-11-07T20:22:14,2025-11-08T18:17:14,13.43278,76.999232,"The complainant Isha Jayaraman reported that on 2025-11-07 at about 17:17 hours, Lopa Sachar committed an offence of robbery involving Isha Jayaraman within the limits of Tumakuru South PS, Tumakuru. A case has been registered under Section 392 IPC and investigation is in progress at Tumakuru South PS."
29,104510048202600001,202600001,2026-01-18,486,48,1,2,4,21,1,,2026-01-14T15:04:01,2026-01-14T18:32:01,2026-01-17T01:04:01,16.802503,75.726845,"The complainant Omaja Shankar reported that on 2026-01-14 at about 15:04 hours, Hema Sarna committed an offence of counterfeiting involving Omaja Shankar within the limits of Vijayapura City PS, Vijayapura. A case has been registered under Section 489A IPC and investigation is in progress at Vijayapura City PS."
30,104470032202600001,202600001,2025-01-22,400,32,1,3,2,13,2,15,2025-01-20T03:24:48,2025-01-20T05:38:48,2025-01-20T22:24:48,15.814144,74.488923,"The complainant Zaitra Barad reported that on 2025-01-20 at about 03:24 hours, Tanay Ravel and Ranveer Munshi committed an offence of criminal trespass involving Upkaar Shan within the limits of Belagavi West PS, Belagavi. A case has been registered under Section 447 IPC and investigation is in progress at Belagavi West PS."
31,104530065202600001,202600001,2026-03-11,81,65,1,3,2,8,2,32,2026-03-10T00:19:16,2026-03-10T04:05:16,2026-03-11T03:19:16,13.41665,77.159765,"The complainant Vihaan Ganesan reported that on 2026-03-10 at about 00:19 hours, Anmol Ram, Girish Manne and Rushil Modi committed an offence of motor vehicle theft involving Vihaan Ganesan within the limits of Tumakuru East PS, Tumakuru. A case has been registered under Section 379 IPC, Section 381 IPC and investigation is in progress at Tumakuru East PS."
32,104530066202600001,202600001,2025-05-18,535,66,1,1,1,2,1,,2025-05-16T02:08:09,2025-05-16T03:06:09,2025-05-16T16:08:09,13.289854,77.175143,"The complainant Vincent Seth reported that on 2025-05-16 at about 02:08 hours, Manan Bhagat committed an offence of attempt to murder involving Vincent Seth within the limits of Tumakuru West PS, Tumakuru. A case has been registered under Section 307 IPC and investigation is in progress at Tumakuru West PS."
33,104470031202600001,202600001,2025-01-26,337,31,1,1,1,2,1,,2025-01-25T22:14:30,2025-01-25T23:55:30,2025-01-26T04:14:30,15.914442,74.429175,"The complainant Ekansh Ramaswamy reported that on 2025-01-25 at about 22:14 hours, Zashil Chowdhury committed an offence of attempt to murder involving Neel Seshadri within the limits of Belagavi East PS, Belagavi. A case has been registered under Section 307 IPC and investigation is in progress at Belagavi East PS."
34,104470028202600001,202600001,2025-10-17,471,28,1,2,1,4,1,,2025-10-16T11:32:24,2025-10-16T13:57:24,2025-10-17T08:32:24,15.748897,74.561715,"The complainant Hemal Setty reported that on 2025-10-16 at about 11:32 hours, Anirudh Rajagopalan, Abdul Jaggi, Indrajit Prabhakar, Yoshita Mangat and Gagan Talwar committed an offence of grievous hurt involving Vasana Chana within the limits of Belagavi Rural PS, Belagavi. Houses marked with chalk earlier in the day were hit within minutes and cleared of gold. A case has been registered under Section 325 IPC and investigation is in progress at Belagavi Rural PS."
35,104480033202600003,202600003,2025-01-27,619,33,1,1,1,6,3,,2025-01-25T06:53:11,2025-01-25T07:29:11,2025-01-27T01:53:11,17.260773,76.75743,"The complainant Pratyush Chada reported that on 2025-01-25 at about 06:53 hours, Neel Gade and Chakradev Comar committed an offence of kidnapping involving Yashodhara Dutta within the limits of Kalaburagi City PS, Kalaburagi. A case has been registered under Section 363 IPC, Section 365 IPC and investigation is in progress at Kalaburagi City PS."
36,104480034202600001,202600001,2026-05-05,982,34,1,2,2,12,2,17,2026-05-03T03:05:46,2026-05-03T03:56:46,2026-05-04T10:05:46,17.431638,76.848846,"The complainant Elijah Gola reported that on 2026-05-03 at about 03:05 hours, Oliver Doctor committed an offence of extortion involving Elijah Gola within the limits of Kalaburagi Rural PS, Kalaburagi. A case has been registered under Section 384 IPC and investigation is in progress at Kalaburagi Rural PS."
37,104480035202600002,202600002,2025-07-14,1013,35,1,1,1,1,5,17,2025-07-12T14:51:00,2025-07-12T17:43:00,2025-07-12T20:51:00,17.362762,76.711826,"The complainant Dhriti Deep reported that on 2025-07-12 at about 14:51 hours, Shaurya Morar and Udant Mani committed an offence of murder involving Aarav Kulkarni within the limits of Kalaburagi North PS, Kalaburagi. A case has been registered under Section 302 IPC and investigation is in progress at Kalaburagi North PS."
38,104540070202600001,202600001,2026-03-22,86,70,1,1,2,11,2,36,2026-03-19T08:56:08,2026-03-19T11:09:08,2026-03-21T03:56:08,14.476531,75.942101,"The complainant Aahana Tak reported that on 2026-03-19 at about 08:56 hours, Veer Tank committed an offence of dacoity involving Aahana Tak within the limits of Davanagere City PS, Davanagere. A case has been registered under Section 395 IPC and investigation is in progress at Davanagere City PS."
39,104450014202600001,202600001,2025-06-21,392,14,1,3,3,15,3,,2025-06-18T21:45:50,2025-06-18T21:51:50,2025-06-20T16:45:50,12.219291,76.615361,"The complainant Aarini Konda reported that on 2025-06-18 at about 21:45 hours, Ikbal Soni and Samarth Sathe committed an offence of cruelty by husband involving Ishita Bawa within the limits of Mysuru City PS, Mysuru. A case has been registered under Section 498A IPC and investigation is in progress at Mysuru City PS."
40,104430003202600002,202600002,2025-08-04,999,3,1,2,4,20,2,2,2025-08-01T21:04:04,2025-08-02T00:18:04,2025-08-03T06:04:04,13.023422,77.702301,"The complainant Neha Narula reported that on 2025-08-01 at about 21:04 hours, Andrew Dhillon committed an offence of criminal breach of trust involving Arya Chopra within the limits of Bengaluru North PS, Bengaluru Urban. A case has been registered under Section 406 IPC and investigation is in progress at Bengaluru North PS."
41,104440012202600001,202600001,2025-03-28,874,12,1,2,2,12,2,5,2025-03-26T22:40:59,2025-03-26T23:08:59,2025-03-27T11:40:59,13.351895,77.62475,"The complainant Anita Chander reported that on 2025-03-26 at about 22:40 hours, Gaurav Edwin and Gaurang Shah committed an offence of extortion involving Ojasvi Pillay within the limits of Bengaluru North PS, Bengaluru Rural. A case has been registered under Section 384 IPC and investigation is in progress at Bengaluru North PS."
42,104560088202600001,202600001,2025-07-25,572,88,1,2,1,4,1,,2025-07-23T07:00:24,2025-07-23T08:51:24,2025-07-24T06:00:24,12.942543,75.955065,"The complainant Madhav Sinha reported that on 2025-07-23 at about 07:00 hours, Bahadurjit Sane committed an offence of grievous hurt involving Divya Maharaj within the limits of Hassan Rural PS, Hassan. A case has been registered under Section 325 IPC and investigation is in progress at Hassan Rural PS."
43,404540072202600001,202600001,2025-03-12,415,72,3,2,4,18,4,,2025-03-08T21:22:30,2025-03-08T21:59:30,2025-03-11T01:22:30,14.435972,75.956264,"The complainant Jagrati Bhardwaj reported that on 2025-03-08 at about 21:22 hours, Samuel Vohra committed an offence of cheating involving Jagrati Bhardwaj within the limits of Davanagere North PS, Davanagere. A case has been registered under Section 420 IPC and investigation is in progress at Davanagere North PS."
44,104490039202600001,202600001,2025-01-14,538,39,1,3,1,4,1,,2025-01-12T16:50:00,2025-01-12T18:34:00,2025-01-13T07:50:00,15.409359,75.155737,"The complainant Yuvraj Tailor reported that on 2025-01-12 at about 16:50 hours, Caleb Sule, Tanay Nadig and Peter Dayal committed an offence of grievous hurt involving Jackson Mannan within the limits of Hubballi-Dharwad Rural PS, Hubballi-Dharwad. A case has been registered under Section 325 IPC and investigation is in progress at Hubballi-Dharwad Rural PS."
45,304430008202600001,202600001,2025-11-28,1097,8,2,1,1,2,1,,2025-11-25T00:12:42,2025-11-25T02:46:42,2025-11-27T00:12:42,13.029587,77.670998,"The complainant Abdul Jaggi reported that on 2025-11-25 at about 00:12 hours, Viraj Dalal, Sarthak Sachdev and Ojas Palla committed an offence of attempt to murder involving Lakshmi Bir within the limits of Bengaluru Market PS, Bengaluru Urban. A case has been registered under Section 307 IPC and investigation is in progress at Bengaluru Market PS."
46,104490042202600001,202600001,2026-06-13,390,42,1,3,5,23,2,20,2026-06-08T22:37:44,2026-06-09T01:32:44,2026-06-11T22:37:44,15.30088,75.228772,"The complainant Gagan Hari reported that on 2026-06-08 at about 22:37 hours, Mason Toor, Aarush Comar and Onkar Randhawa committed an offence of excise involving Omkaar Srinivas within the limits of Hubballi-Dharwad East PS, Hubballi-Dharwad. A case has been registered under Section 32 KE and investigation is in progress at Hubballi-Dharwad East PS."
47,304560088202600001,202600001,2025-11-26,1163,88,2,1,2,10,2,40,2025-11-25T14:37:33,2025-11-25T16:24:33,2025-11-26T13:37:33,13.05974,76.003729,"The complainant Faras Sharma reported that on 2025-11-25 at about 14:37 hours, Andrew Deshpande committed an offence of robbery involving Vedhika Sachdev within the limits of Hassan Rural PS, Hassan. A case has been registered under Section 392 IPC and investigation is in progress at Hassan Rural PS."
48,104460026202600001,202600001,2026-05-19,417,26,1,3,2,7,3,,2026-05-17T15:27:24,2026-05-17T17:45:24,2026-05-19T08:27:24,13.087119,74.879143,"The complainant Hemang Narula reported that on 2026-05-17 at about 15:27 hours, Jai Lanka, Zaid Iyengar, Jyoti Jain and Darpan Brar committed an offence of theft involving Hemang Narula within the limits of Dakshina Town PS, Dakshina Kannada. Chloroform-soaked cloth was used to subdue the inmates before the house was ransacked. A case has been registered under Section 379 IPC and investigation is in progress at Dakshina Town PS."
49,304550079202600002,202600002,2025-06-17,48,79,2,1,1,1,1,,2025-06-14T23:39:17,2025-06-15T01:57:17,2025-06-17T14:39:17,13.294304,74.754218,"The complainant Alexander Nori reported that on 2025-06-14 at about 23:39 hours, Bachittar Dixit committed an offence of murder involving Fitan Ramachandran within the limits of Udupi City PS, Udupi. A case has been registered under Section 302 IPC and investigation is in progress at Udupi City PS."
50,104570098202600001,202600001,2026-06-24,981,98,1,3,2,7,3,,2026-06-21T00:31:32,2026-06-21T01:11:32,2026-06-23T02:31:32,12.421453,76.795555,"The complainant Dalbir Morar reported that on 2026-06-21 at about 00:31 hours, Bahadurjit Krishna, Chandresh Mane and Hardik Sur committed an offence of theft involving Anamika Magar within the limits of Mandya Market PS, Mandya. The accused posed as bank officials and coaxed an OTP from the victim over the phone. A case has been registered under Section 379 IPC and investigation is in progress at Mandya Market PS."
51,104460022202600001,202600001,2026-06-17,107,22,1,1,1,6,3,,2026-06-14T06:54:02,2026-06-14T09:20:02,2026-06-16T07:54:02,12.890927,74.915993,"The complainant Quincy Seth reported that on 2026-06-14 at about 06:54 hours, Caleb Taneja committed an offence of kidnapping involving Quincy Seth within the limits of Dakshina East PS, Dakshina Kannada. A case has been registered under Section 363 IPC, Section 365 IPC and investigation is in progress at Dakshina East PS."
52,104550084202600002,202600002,2025-10-24,572,84,1,2,4,20,3,,2025-10-23T13:57:10,2025-10-23T15:55:10,2025-10-24T20:57:10,13.376511,74.775847,"The complainant Anjali Jaggi reported that on 2025-10-23 at about 13:57 hours, Hritik Vohra and Gagan Choudhury committed an offence of criminal breach of trust involving Anjali Jaggi within the limits of Udupi West PS, Udupi. A case has been registered under Section 406 IPC and investigation is in progress at Udupi West PS."
53,104470032202600002,202600002,2025-09-14,645,32,1,2,2,12,2,14,2025-09-12T19:48:02,2025-09-12T21:52:02,2025-09-13T04:48:02,15.814427,74.425669,"The complainant Wyatt Tella reported that on 2025-09-12 at about 19:48 hours, Tristan Toor committed an offence of extortion involving Ikshita Oak within the limits of Belagavi West PS, Belagavi. A case has been registered under Section 384 IPC and investigation is in progress at Belagavi West PS."
54,104460026202600002,202600002,2025-06-03,953,26,1,2,4,19,1,,2025-05-31T18:50:48,2025-05-31T22:42:48,2025-06-01T12:50:48,13.018421,74.996332,"The complainant Chandran Varty reported that on 2025-05-31 at about 18:50 hours, Mohammed Narang committed an offence of forgery involving Chandran Varty within the limits of Dakshina Town PS, Dakshina Kannada. A case has been registered under Section 468 IPC and investigation is in progress at Dakshina Town PS."
55,804510050202600001,202600001,2025-03-25,669,50,4,3,5,23,4,,2025-03-21T11:52:32,2025-03-21T13:04:32,2025-03-24T10:52:32,16.87079,75.775383,"The complainant Rishi Vig reported that on 2025-03-21 at about 11:52 hours, Harshil Bansal committed an offence of excise involving Aahana Mukhopadhyay within the limits of Vijayapura North PS, Vijayapura. A case has been registered under Section 32 KE and investigation is in progress at Vijayapura North PS."
56,104510048202600002,202600002,2026-06-18,1164,48,1,1,1,2,2,27,2026-06-14T14:48:31,2026-06-14T15:53:31,2026-06-16T22:48:31,16.802897,75.697909,"The complainant Naveen Iyer reported that on 2026-06-14 at about 14:48 hours, Caleb Nath, Arin Chauhan and Alka Muni committed an offence of attempt to murder involving Naveen Iyer within the limits of Vijayapura City PS, Vijayapura. A case has been registered under Section 307 IPC and investigation is in progress at Vijayapura City PS."
57,404470027202600001,202600001,2025-03-11,990,27,3,1,1,1,1,,2025-03-09T01:16:46,2025-03-09T02:25:46,2025-03-11T15:16:46,15.831286,74.462863,"The complainant Mekhala Malhotra reported that on 2025-03-09 at about 01:16 hours, Faris Desai, Wriddhish Srinivas, Faris Roy, Ethan Bhalla, Jairaj Bassi and Noah Comar committed an offence of murder involving Mekhala Malhotra within the limits of Belagavi City PS, Belagavi. The accused impersonated municipal survey staff to enter the homes of elderly residents. A case has been registered under Section 302 IPC and investigation is in progress at Belagavi City PS."
58,104500043202600001,202600001,2026-02-21,849,43,1,3,5,24,4,,2026-02-19T18:19:51,2026-02-19T20:20:51,2026-02-21T03:19:51,15.180651,76.960184,"The complainant Falan Dugar reported that on 2026-02-19 at about 18:19 hours, Thomas Dalal committed an offence of gambling involving Deepa Aurora within the limits of Ballari City PS, Ballari. A case has been registered under Section 87 KP and investigation is in progress at Ballari City PS."
59,104430004202600001,202600001,2025-05-06,106,4,1,3,2,9,1,,2025-05-02T15:56:31,2025-05-02T15:56:31,2025-05-04T18:56:31,13.000172,77.600741,"The complainant Krisha Garg reported that on 2025-05-02 at about 15:56 hours, Krishna Dhaliwal committed an offence of burglary involving Nimrat Nigam within the limits of Bengaluru South PS, Bengaluru Urban. A case has been registered under Section 457 IPC, Section 380 IPC and investigation is in progress at Bengaluru South PS."
60,804530061202600001,202600001,2026-01-03,582,61,4,2,1,5,1,,2026-01-01T02:02:10,2026-01-01T02:10:10,2026-01-02T18:02:10,13.339501,77.117706,"The complainant Tanay Ramanathan reported that on 2026-01-01 at about 02:02 hours, Arya De, Warinder Bedi and Rehaan Bhagat committed an offence of hurt involving Tanay Ramanathan within the limits of Tumakuru City PS, Tumakuru. A case has been registered under Section 323 IPC and investigation is in progress at Tumakuru City PS."
61,304510051202600001,202600001,2025-11-13,620,51,2,2,5,22,3,,2025-11-10T22:52:25,2025-11-11T02:51:25,2025-11-13T04:52:25,16.852032,75.796262,"The complainant Ojas Hora reported that on 2025-11-10 at about 22:52 hours, Fiyaz Nazareth and Udant Parekh committed an offence of ndps involving Viraj Deep within the limits of Vijayapura South PS, Vijayapura. A case has been registered under Section 20 NDPS and investigation is in progress at Vijayapura South PS."
62,104570091202600001,202600001,2026-05-02,337,91,1,1,1,6,4,,2026-04-30T11:10:25,2026-04-30T12:14:25,2026-05-01T12:10:25,12.471613,76.894695,"The complainant Nilima Shroff reported that on 2026-04-30 at about 11:10 hours, Vivaan Chatterjee committed an offence of kidnapping involving Kala Kapur within the limits of Mandya City PS, Mandya. A case has been registered under Section 363 IPC, Section 365 IPC and investigation is in progress at Mandya City PS."
63,104510054202600001,202600001,2025-12-12,595,54,1,1,1,3,2,25,2025-12-09T04:15:32,2025-12-09T06:32:32,2025-12-11T20:15:32,16.74476,75.617236,"The complainant Utkarsh Sura reported that on 2025-12-09 at about 04:15 hours, Kai Patla and Gavin Narayanan committed an offence of culpable homicide involving Bachittar Soman within the limits of Vijayapura Central PS, Vijayapura. A case has been registered under Section 304 IPC and investigation is in progress at Vijayapura Central PS."
