AccusedMasterID,CaseMasterID,AccusedName,AgeYear,GenderID,PersonID,PersonIdentityID
99,57,Faris Desai,19,M,A1,124
100,57,Wriddhish Srinivas,16,M,A2,121
101,57,Faris Roy,27,M,A3,122
102,57,Ethan Bhalla,21,M,A4,125
103,57,Jairaj Bassi,41,M,A5,123
104,57,Noah Comar,24,M,A6,120
105,58,Thomas Dalal,55,M,A1,422
106,59,Krishna Dhaliwal,49,M,A1,423
107,60,Arya De,36,F,A1,424
108,60,Warinder Bedi,20,M,A2,425
109,60,Rehaan Bhagat,26,M,A3,426
110,61,Fiyaz Nazareth,18,M,A1,232
111,61,Udant Parekh,39,M,A2,427
112,62,Vivaan Chatterjee,37,M,A1,428
113,63,Kai Patla,16,M,A1,429
114,63,Gavin Narayanan,33,M,A2,430
115,64,Kalpit Zacharia,16,M,A1,95
116,64,Aditya Tripathi,16,M,A2,93
117,64,Samaksh Kala,34,M,A3,94
118,65,Frederick Mandal,43,M,A1,431
119,66,Balendra Mittal,34,M,A1,432
120,67,Girik Dugar,24,M,A1,118
121,67,Saanvi Pau,16,F,A2,111
122,67,Jeremiah Puri,26,M,A3,112
123,67,Logan Kakar,24,M,A4,117
124,67,Yamini Dewan,21,F,A5,115
125,67,Samaksh Pandit,42,M,A6,113
126,67,Yagnesh Subramaniam,19,M,A7,114
127,67,Fitan Karpe,16,M,A8,116
128,68,Onveer Keer,27,M,A1,433
129,68,Brinda Sur,31,F,A2,434
130,69,Tristan Goda,42,M,A1,435
131,69,Samaksh Boase,42,M,A2,436
132,70,Jeremiah Dhingra,40,M,A1,17
133,70,Manbir Jani,42,M,A2,18
134,71,Falan Sethi,35,M,A1,437
135,71,Robert Sekhon,31,M,A2,438
136,72,Max Saran,20,M,A1,439
137,72,Chaitanya Anand,32,M,A2,440
138,73,Praneel Choudhary,18,M,A1,441
139,73,Amruta Keer,23,F,A2,442
140,74,Hitesh Ghose,37,M,A1,443
141,75,Pranit Sahni,23,M,A1,444
142,76,Jatin Mander,35,M,A1,247
143,77,Ekansh Chad,26,M,A1,445
144,77,Sarthak Shah,47,M,A2,446
145,78,Umang Rajagopalan,43,M,A1,447
146,79,Siddharth Khatri,33,M,A1,266
147,79,Aarush Tara,29,M,A2,448
148,80,Qadim Bandi,42,M,A1,449
149,80,Wyatt Pillay,40,M,A2,450
150,81,Finn Bhasin,16,M,A1,222
151,81,Umang Natt,31,M,A2,224
152,82,Avi Oza,37,M,A1,451
153,82,Wahab Setty,29,M,A2,452
154,83,Anita Modi,43,F,A1,453
155,84,Luke Sundaram,28,M,A1,454
156,85,Logan Maharaj,30,M,A1,455
157,85,Abhimanyu Choudhury,52,M,A2,456
158,85,Faqid Sekhon,32,M,A3,457
159,86,Xavier Golla,28,M,A1,458
160,87,Rehaan Khanna,22,M,A1,459
161,87,Fiyaz Kade,37,M,A2,460
162,88,Atharv Ganesh,22,M,A1,461
163,88,Ryan Soni,29,M,A2,462
164,89,Karan Dhillon,16,M,A1,463
165,90,Chanakya Wali,33,M,A1,464
166,90,Tarak Mahajan,36,M,A2,465
167,91,Jai Hayer,29,M,A1,466
168,91,Gautam Munshi,30,M,A2,467
169,92,Udant Panchal,40,M,A1,468
170,93,Chanakya Virk,27,M,A1,319
171,93,Ayush Kalla,27,M,A2,469
172,94,Raghav Goyal,28,M,A1,470
173,94,George Kulkarni,26,M,A2,471
174,94,Vinaya Borra,32,F,A3,472
175,95,Lakshit Bhatia,26,M,A1,473
176,96,Kai Lanka,36,M,A1,474
177,97,Yatan Chopra,31,M,A1,475
178,98,Anay Bora,26,M,A1,476
179,98,Girik Pall,16,M,A2,308
180,98,Jeremiah Sehgal,34,M,A3,477
181,99,Anjali Ramakrishnan,34,F,A1,478
182,100,William Sarin,16,M,A1,479
183,100,Bakhshi Zachariah,31,M,A2,480
184,101,Ojas Mitter,21,M,A1,481
185,102,Onkar Buch,16,M,A1,482
186,103,Hritik Venkataraman,21,M,A1,331
187,103,Anmol Rajagopalan,27,M,A2,483
188,104,Praneel Sur,31,M,A1,484
189,104,Theodore Gupta,26,M,A2,485
190,105,Jagdish Suresh,16,M,A1,486
191,106,Samuel Guha,45,M,A1,268
192,107,Samaksh Dani,31,M,A1,487
193,108,Warinder Bath,26,M,A1,488
194,109,Aryan Mohanty,27,M,A1,489
195,110,Tanay Nazareth,22,M,A1,490
196,110,Nicholas Dara,28,M,A2,491
197,110,Naveen Kala,16,M,A3,492
198,111,Darpan Mahal,33,M,A1,493
199,111,Triya Ganguly,26,F,A2,494
200,112,Anmol Deol,20,M,A1,495
201,113,Aarini Gola,16,F,A1,496
202,114,Krishna Virk,44,M,A1,497
203,115,Chaitanya Mitra,37,M,A1,498
204,116,Faraj Mandal,28,M,A1,317
205,117,Vedika Joshi,16,F,A1,499
206,118,Gaurang Dutta,48,M,A1,500
207,118,Avi Patla,41,M,A2,501
208,119,Oliver Setty,35,M,A1,502
209,120,Dalbir Bobal,28,M,A1,503
210,120,Tristan Nanda,23,M,A2,504
211,121,Chavvi Khalsa,16,T,A1,505
212,122,Balhaar Sinha,45,M,A1,506
213,122,Avni Sarin,41,F,A2,507
214,122,Girish Viswanathan,30,M,A3,316
215,123,Vasudha Hari,30,F,A1,508
216,124,Logan Deshpande,27,M,A1,509
217,125,Quincy Sachar,44,M,A1,340
218,126,Yash Kalita,32,M,A1,510
219,127,Falan Ahluwalia,30,M,A1,511
220,127,Anya Baria,27,T,A2,512
221,128,Upkaar Tandon,38,M,A1,513
222,129,Manbir Khare,33,M,A1,514
223,130,Faris Sharaf,32,M,A1,515
224,131,Chaitanya Bhatt,28,M,A1,161
225,131,Robert Ahluwalia,28,M,A2,159
226,131,Omkaar Ben,29,M,A3,158
227,132,Manbir Sandhu,38,M,A1,516
228,133,Quincy Sachar,44,M,A1,340
229,133,Qadim Shroff,48,M,A2,517
230,134,Oliver Khare,39,M,A1,518
231,135,Naveen Pandit,28,M,A1,519
232,136,Edhitha Sura,28,F,A1,302
233,136,Yamini Vyas,25,F,A2,520
234,137,Upkaar Pillai,34,M,A1,521
235,138,Maanas Bose,26,M,A1,522
236,138,Fitan Majumdar,49,M,A2,523
237,139,Zehaan Raghavan,26,M,A1,313
238,139,Manan Saha,31,M,A2,524
239,140,Girindra Bhatnagar,16,M,A1,525
240,141,Indrajit Prabhakar,35,M,A1,162
241,141,Gagan Talwar,16,M,A2,165
242,141,Yoshita Mangat,16,F,A3,164
243,141,Anirudh Rajagopalan,27,M,A4,163
244,142,Michael Garg,21,M,A1,526
245,142,Ishaan Sule,27,M,A2,527
246,143,Patrick Mane,28,M,A1,528
247,144,Gavin Gill,23,M,A1,529
248,145,Falan Pau,33,M,A1,96
249,145,Vincent Thaker,30,M,A2,98
250,146,Frado Banik,37,M,A1,168
251,146,Jagdish Acharya,30,M,A2,169
252,147,Nathan Padmanabhan,39,M,A1,530
253,147,Quincy Sen,37,M,A2,531
254,147,Nidhi Dara,16,F,A3,532
255,148,Aarnav Tripathi,34,M,A1,533
256,149,Daksh Srinivas,38,M,A1,534
257,149,Ekiya Dada,34,F,A2,535
258,150,Nihal Bhakta,29,M,A1,536
259,151,Gunbir Swaminathan,30,M,A1,537
260,152,Lucky Pai,35,M,A1,538
261,153,Faraj Patla,50,M,A1,83
262,153,Gunbir Nadkarni,34,M,A2,81
263,153,Tanish Ganguly,27,M,A3,84
264,153,Naksh Koshy,16,M,A4,85
265,154,Jagdish Acharya,30,M,A1,169
266,154,Frado Banik,37,M,A2,168
267,154,Indali Bandi,21,F,A3,167
268,155,Chameli Dhawan,28,F,A1,539
269,155,Max Soman,16,M,A2,540
270,156,Caleb Borah,35,M,A1,55
271,156,Victor Narula,34,M,A2,54
272,156,Ishanvi Yogi,17,T,A3,52
273,156,Balendra Dube,17,M,A4,53
274,156,Jhalak Kuruvilla,25,F,A5,57
275,156,Gaurav Krishnamurthy,34,M,A6,56
276,157,Rayaan Mann,26,M,A1,541
277,157,Ansh Mittal,16,M,A2,542
278,157,Yatin Sheth,38,M,A3,543
279,158,Tarak Mutti,32,M,A1,59
280,158,Rishi Seshadri,31,M,A2,58
281,159,Yatin Bhavsar,56,M,A1,544
282,159,Wridesh Sarin,36,M,A2,545
283,160,Abhiram Lad,26,M,A1,546
284,160,Ayush Dhingra,27,M,A2,547
285,161,Pranit Saini,39,M,A1,548
286,161,Arjun Mann,18,M,A2,549
287,162,Gavin Chandra,33,M,A1,550
288,163,Ikbal Chowdhury,41,M,A1,293
289,163,Patrick Dhawan,56,M,A2,551
290,164,Ikbal Dubey,31,M,A1,552
291,164,Girindra Vora,38,M,A2,553
292,164,Sathvik Sharma,16,M,A3,554
293,165,Wriddhish Pall,24,M,A1,555
294,166,Max Balakrishnan,40,M,A1,556
295,167,Simon Choudhury,41,M,A1,557
296,168,Amol Varghese,49,M,A1,558
297,169,Anthony Bhatti,32,M,A1,559
298,169,Abdul Char,27,M,A2,560
299,169,Harshil Iyengar,37,M,A3,561
300,170,Edhitha Sura,28,F,A1,302
301,171,Lila Dyal,27,F,A1,16
302,171,Manbir Jani,42,M,A2,18
303,172,Zayyan Soman,33,M,A1,562
304,173,Simon Kala,43,M,A1,563
305,173,Samar Chowdhury,23,M,A2,564
306,173,David Shukla,40,M,A3,565
307,174,Maanas Baria,16,M,A1,566
308,175,Nachiket Sawhney,36,M,A1,567
309,176,Qarin Gola,28,M,A1,568
310,176,Yatan Cheema,38,M,A2,569
311,176,Theodore Virk,21,M,A3,570
312,177,Bhavini Patla,18,F,A1,571
313,178,Darsh Kaul,16,M,A1,572
314,179,Indali Bandi,21,F,A1,167
315,179,Frado Banik,37,M,A2,168
316,179,Jagdish Acharya,30,M,A3,169
317,180,Ethan Sha,28,M,A1,573
318,180,Darsh Krishna,45,M,A2,574
319,181,Alexander Chaudhary,36,M,A1,575
320,182,Ganga Mitter,25,T,A1,576
321,183,Avi Bhalla,16,M,A1,15
322,183,Dalbir Pandey,22,M,A2,11
323,183,Dominic Gokhale,16,M,A3,10
324,183,Siddharth Arya,24,M,A4,13
325,184,Amol Sani,26,M,A1,577
326,184,Rehaan Sengupta,25,M,A2,578
327,185,Andrew Bali,40,M,A1,579
328,185,Max Gala,31,M,A2,580
329,185,Tanveer Desai,16,M,A3,581
330,186,Yatan Zacharia,20,M,A1,582
331,187,Naveen Bhat,17,M,A1,583
332,187,Arin Dave,47,M,A2,584
333,188,Orinder Parikh,26,M,A1,585
334,189,Krishna Keer,43,F,A1,586
335,190,Dakshesh Nazareth,48,M,A1,587
336,191,Nathan Vora,31,M,A1,35
337,191,Yatan Parmar,24,M,A2,34
338,192,Ranbir Ramakrishnan,16,M,A1,588
339,193,Zayan Nori,35,M,A1,589
340,194,Hredhaan Mani,46,M,A1,590
341,194,Arjun Mishra,16,M,A2,591
342,195,Om Mahajan,30,M,A1,592
343,196,Matthew Thaman,25,M,A1,593
344,196,Tarak Zacharia,29,M,A2,594
345,197,Ladli Varma,32,F,A1,595
346,197,Gautam Bahl,22,M,A2,596
347,198,Krish Walia,35,M,A1,597
348,199,Jai Dora,38,M,A1,598
349,199,Teerth Roy,27,M,A2,599
350,200,Kabir Keer,19,M,A1,600
351,200,Jagdish Comar,17,M,A2,601
352,201,Mohammed Shetty,41,M,A1,602
353,202,Ekanta Balakrishnan,25,T,A1,603
354,203,Xavier Bahri,28,M,A1,604
355,204,Chakradev Ranganathan,38,M,A1,605
356,204,Jacob Choudhury,40,M,A2,606
357,205,Darsh Munshi,26,M,A1,607
358,205,Robert Keer,26,M,A2,608
359,205,Imaran Lall,35,M,A3,265
360,206,Thomas Rege,31,M,A1,609
361,207,Aarush Prashad,23,M,A1,147
362,207,Harsh Sachdev,44,M,A2,152
363,207,Nakul Rege,43,M,A3,148
364,207,Qadim Majumdar,42,M,A4,151
365,207,Jonathan Lal,16,M,A5,150
366,207,Aarnav Amble,16,M,A6,146
367,208,Wazir Koshy,32,M,A1,610
368,209,Raksha Morar,34,T,A1,611
369,210,Fitan Karpe,16,M,A1,116
370,210,Saanvi Pau,16,F,A2,111
371,210,Girik Dugar,24,M,A3,118
372,210,Jeremiah Puri,26,M,A4,112
373,210,Samaksh Pandit,42,M,A5,113
374,210,Yagnesh Subramaniam,19,M,A6,114
375,210,Yamini Dewan,21,F,A7,115
376,210,Logan Kakar,24,M,A8,117
377,211,Arjun Rao,20,M,A1,221
378,211,Zaid Desai,23,M,A2,219
379,212,Chakradev Keer,38,M,A1,612
380,212,Gopal Bail,36,M,A2,304
381,212,Henry Dyal,42,M,A3,613
382,213,Warinder Sachar,33,M,A1,614
383,214,Kalpit Toor,33,M,A1,615
384,215,George Sawhney,26,M,A1,616
385,215,Aarav Rattan,33,M,A2,617
386,216,Christopher Dugar,43,M,A1,618
387,216,Dhruv Roy,34,M,A2,619
388,216,Upkaar Sridhar,20,M,A3,620
389,217,Triya Pillai,20,F,A1,621
390,218,Aishani Bajaj,16,F,A1,622
391,218,Chaitanya Shere,46,M,A2,623
392,219,Jonathan Srivastava,23,M,A1,291
393,220,Teerth Setty,33,M,A1,624
394,221,Yug Raja,31,M,A1,625
395,222,Lohit Gulati,27,M,A1,626
396,223,Akshay Mannan,24,M,A1,627
397,224,Qasim Shanker,35,M,A1,628
398,224,Abdul Singh,16,M,A2,629
399,225,Balhaar Chandran,39,M,A1,630
400,225,Atharv Natarajan,22,M,A2,631
401,226,Aahana Kulkarni,33,F,A1,632
402,227,Dominic Barman,28,M,A1,633
403,228,Faras Baral,17,M,A1,32
404,228,Neel Behl,31,M,A2,33
405,229,Chaitanya Nadig,30,M,A1,634
406,230,Nathan Vora,31,M,A1,35
407,230,Yatan Parmar,24,M,A2,34
408,230,Neel Behl,31,M,A3,33
409,230,Faras Baral,17,M,A4,32
410,231,Tanveer Mandal,35,M,A1,635
411,232,Yatan Dora,44,M,A1,636
412,232,Avi Gulati,30,M,A2,637
413,233,Gautami Sibal,20,F,A1,638
414,234,Veer Tailor,32,M,A1,639
415,234,Ethan Dasgupta,31,M,A2,640
416,235,Hitesh Agrawal,34,M,A1,641
417,236,Zaid Chandra,20,M,A1,642
418,236,Tristan Patil,27,M,A2,237
419,237,Neel Dube,42,M,A1,643
420,238,Nitesh Bassi,28,M,A1,644
421,238,Omaja Dayal,21,F,A2,645
422,239,Ayaan Bobal,36,M,A1,646
423,240,Aarini Basak,16,F,A1,197
424,240,Laksh Swaminathan,36,M,A2,199
425,240,Quincy Murty,40,M,A3,198
426,241,Chanchal Bail,35,T,A1,647
427,242,Lucky Dube,30,M,A1,648
428,243,Chanakya Pillai,26,M,A1,649
429,244,Chakradev Sami,27,M,A1,650
430,245,Yachana Vyas,28,T,A1,651
431,246,Abdul Jaggi,39,M,A1,166
432,246,Indrajit Prabhakar,35,M,A2,162
433,246,Yoshita Mangat,16,F,A3,164
434,246,Gagan Talwar,16,M,A4,165
435,247,Manbir Batta,23,M,A1,652
436,248,Vincent Kulkarni,18,M,A1,653
437,248,Joshua Bumb,32,M,A2,654
438,249,Gavin Ramaswamy,25,M,A1,655
439,249,Benjamin Saha,34,M,A2,656
440,250,Kevin Om,38,M,A1,657
441,251,Abdul Dhaliwal,25,M,A1,69
442,251,Ekbal Misra,35,M,A2,68
443,251,Ekavir Dyal,26,M,A3,73
444,251,Indrajit Krishnan,27,M,A4,74
445,251,Anvi Ahluwalia,34,F,A5,70
446,251,Ekanta Raman,31,F,A6,67
447,252,William Sharma,35,M,A1,658
448,252,Yagnesh Mitter,26,M,A2,659
449,253,Dev Deshmukh,30,M,A1,660
450,254,Benjamin Char,19,M,A1,49
451,254,Aarush Bhatti,37,M,A2,50
452,254,Dakshesh Raju,38,M,A3,45
453,254,Lohit Bakshi,44,M,A4,46
454,254,Udant Sur,27,M,A5,47
455,255,Tejas Yohannan,19,M,A1,661
456,256,Ethan Som,37,M,A1,662
457,256,Advay Dada,36,M,A2,663
458,257,Indrajit Kala,32,M,A1,39
459,257,Saksham Chanda,29,M,A2,38
460,257,Aayush Contractor,40,M,A3,42
461,257,Udant Khosla,34,M,A4,43
462,257,Noah Patel,34,M,A5,40
463,257,Janani Wali,16,F,A6,41
464,258,Bakhshi Wali,16,M,A1,310
465,259,Triya Tandon,18,F,A1,664
466,259,Andrew Sura,31,M,A2,665
467,259,Xavier Varghese,34,M,A3,666
468,260,Lipika Sahni,41,T,A1,667
469,261,Gaurika Mani,19,F,A1,668
470,262,Jack Tripathi,44,M,A1,669
471,262,Avi Bal,16,M,A2,243
472,263,Isaac Mannan,29,M,A1,97
473,263,Vincent Thaker,30,M,A2,98
474,264,Hemang Mandal,28,M,A1,670
475,265,Aarush Prashad,23,M,A1,147
476,265,Harsh Sachdev,44,M,A2,152
477,265,Qadim Majumdar,42,M,A3,151
478,265,Jonathan Lal,16,M,A4,150
479,265,Chatresh Dubey,24,M,A5,149
480,266,Arjun Badami,35,M,A1,671
481,266,Kalpit Parikh,52,M,A2,672
482,266,Gagan Thakur,28,M,A3,673
483,267,Dakshesh Karan,31,M,A1,674
484,268,Lila Dora,45,F,A1,675
485,269,Udant Dutta,25,M,A1,101
486,269,Rushil Patla,26,M,A2,99
487,270,Radhika Dugar,33,T,A1,676
488,271,Oliver Devi,26,M,A1,677
489,271,Isha Sarna,37,F,A2,678
490,271,Kiaan Wadhwa,37,M,A3,329
491,272,Chaman Lata,29,F,A1,679
492,272,Sarthak Patel,25,M,A2,680
493,272,Faqid Wagle,26,M,A3,681
494,273,Pratyush Balan,38,M,A1,682
495,273,Eta Anne,24,T,A2,683
496,274,Azaan Ramaswamy,33,M,A1,684
497,275,Girik Chaudry,38,M,A1,274
498,276,Krish Dass,25,M,A1,275
499,277,Avi Arya,32,M,A1,23
500,277,Isaac Ramachandran,35,M,A2,20
501,277,Rishi Saha,20,M,A3,22
502,277,Maanas Batta,46,M,A4,21
503,278,Andrew Yogi,36,M,A1,685
504,278,Robert Date,40,M,A2,686
505,279,Nachiket Naidu,21,M,A1,289
506,279,Onkar Dutta,45,M,A2,687
507,280,Jai Modi,16,M,A1,688
508,280,Zayyan Choudhry,46,M,A2,689
509,281,Udarsh Misra,34,M,A1,690
510,282,Lucky Dey,44,M,A1,691
511,282,Jatin Cheema,24,M,A2,692
512,283,Utkarsh Chaudhari,37,M,A1,693
513,284,Darsh Kothari,26,M,A1,285
514,284,Udant Brahmbhatt,51,M,A2,694
515,285,Thomas Suri,18,M,A1,695
516,286,Daniel Kala,38,M,A1,696
517,287,Vivaan Maharaj,38,M,A1,309
518,287,Christopher Dara,35,M,A2,697
519,288,Daniel Prabhu,44,M,A1,698
520,289,Falan Pau,33,M,A1,96
521,289,Vincent Thaker,30,M,A2,98
522,290,Ekavir Sama,20,M,A1,699
523,290,Michael Mander,37,M,A2,700
524,291,Omkaar Ben,29,M,A1,158
525,291,Elijah Sinha,26,M,A2,160
526,291,Robert Ahluwalia,28,M,A3,159
527,291,Chaitanya Bhatt,28,M,A4,161
528,292,Anya Sahni,17,F,A1,701
529,293,Ekantika Thaman,27,T,A1,702
530,293,Umang Sen,34,M,A2,703
531,294,Pallavi Zachariah,31,F,A1,704
532,294,Timothy Mall,46,M,A2,705
533,295,Avi Vig,16,M,A1,706
534,295,Wazir Thakkar,28,M,A2,707
535,295,Darpan Wali,28,M,A3,708
536,296,Anirudh Rajagopalan,27,M,A1,163
537,296,Indrajit Prabhakar,35,M,A2,162
538,296,Gagan Talwar,16,M,A3,165
539,296,Yoshita Mangat,16,F,A4,164
540,296,Abdul Jaggi,39,M,A5,166
541,297,Yatan Bajaj,17,M,A1,709
542,298,Rayaan Kurian,28,M,A1,710
543,298,Dakshesh Chaudhary,49,M,A2,711
544,299,Mitesh Reddy,25,M,A1,712
545,299,Ayushman Nanda,47,M,A2,713
546,300,Aarnav Narayanan,32,M,A1,31
547,300,Upadhriti Mallick,26,F,A2,29
548,300,Dhruv Dyal,28,M,A3,30
549,300,Darpan Purohit,29,M,A4,28
550,301,Kai Prashad,25,M,A1,714
551,301,Ati Jain,22,F,A2,715
552,302,Dakshesh Luthra,47,M,A1,716
553,303,Tanvi Kaur,29,F,A1,717
554,303,Krish Chaudhuri,42,M,A2,718
555,303,Dev Modi,32,M,A3,719
556,304,Krisha Yogi,20,F,A1,720
557,304,Upkaar Barman,40,M,A2,721
558,305,Aadi Bhasin,40,M,A1,722
559,306,Faraj Mandal,28,M,A1,317
560,307,Divya Dey,29,F,A1,723
561,308,Panini Kade,35,F,A1,724
562,309,Yash Ramaswamy,30,M,A1,725
563,309,Balvan Yohannan,49,M,A2,726
564,310,Raghav Parmar,16,M,A1,727
565,311,Advaith Mand,48,M,A1,728
566,311,Gopal Chana,24,M,A2,729
567,312,Pratyush Bansal,18,M,A1,730
568,313,Liam Tella,31,M,A1,731
569,314,Bachittar Dave,23,M,A1,732
570,314,Devansh Lad,30,M,A2,733
571,315,Utkarsh Agate,37,M,A1,734
572,316,Samar Mahal,47,M,A1,735
573,316,Viraj Tandon,30,M,A2,736
574,316,Anthony Kapur,43,M,A3,737
575,317,Nisha Ahluwalia,34,T,A1,738
576,318,Baljiwan Krish,36,M,A1,739
577,319,Pranav Dube,47,M,A1,301
578,320,Faris Roy,27,M,A1,122
579,320,Wriddhish Srinivas,16,M,A2,121
580,320,Ethan Bhalla,21,M,A3,125
581,320,Noah Comar,24,M,A4,120
582,320,Jairaj Bassi,41,M,A5,123
583,321,Jagat Bora,29,M,A1,740
584,322,Ranbir Munshi,20,M,A1,741
585,323,Ayaan Mitra,25,M,A1,742
586,324,Samaksh Kala,34,M,A1,94
587,324,Kalpit Zacharia,16,M,A2,95
588,324,Aditya Tripathi,16,M,A3,93
589,325,Chandresh Nori,24,M,A1,743
590,326,Abeer Bir,47,M,A1,744
591,327,Peter Sama,46,M,A1,745
592,327,Nicholas Uppal,27,M,A2,229
593,327,Tristan Grewal,34,M,A3,746
594,328,Devansh Muni,25,M,A1,747
595,329,Mohammed Oza,30,M,A1,748
596,330,Siddharth Padmanabhan,16,M,A1,749
597,331,Mason Sahota,31,M,A1,750
598,332,Ansh Tandon,42,M,A1,751
599,332,Aarav Kapoor,47,M,A2,752
600,333,Wridesh Narula,26,M,A1,753
601,333,Harshil Ratta,37,M,A2,754
602,334,Balhaar Parmar,25,M,A1,755
603,335,Arin Baral,31,M,A1,108
604,335,Anmol Kanda,42,M,A2,103
605,335,Jack Bhatnagar,29,M,A3,104
606,335,Karan Ghosh,29,M,A4,110
607,335,Rishi Singh,45,M,A5,107
608,336,Hardik Mander,42,M,A1,756
609,336,Imaran Lala,20,M,A2,757
610,337,Karan Chaudhuri,39,M,A1,758
611,338,Samuel Ganesh,35,M,A1,238
612,338,Vedant Khatri,35,M,A2,759
613,339,Upkaar Sem,37,M,A1,343
614,339,Eiravati Gupta,22,F,A2,760
615,340,Girindra Wason,23,M,A1,761
616,341,Chaitanya Bhatt,28,M,A1,161
617,341,Elijah Sinha,26,M,A2,160
618,341,Omkaar Ben,29,M,A3,158
619,342,Raghav Kumar,22,M,A1,342
620,342,Rishi Upadhyay,45,M,A2,762
621,342,Zaid Venkataraman,18,M,A3,763
622,343,Krish Rattan,20,M,A1,764
623,343,Hemang Kanda,16,M,A2,765
624,344,Ikbal Mohan,32,M,A1,766
625,345,Joshua Chad,33,M,A1,767
626,345,Nicholas Uppal,27,M,A2,229
627,346,Ansh Shroff,49,M,A1,768
628,346,Tanay Seshadri,31,M,A2,769
629,346,Tarak Rege,28,M,A3,770
