VictimMasterID,CaseMasterID,VictimName,AgeYear,GenderID,VictimPolice
75,107,Jackson Bora,39,M,0
76,107,Ekta Suresh,60,F,0
77,109,Damyanti Comar,45,F,0
78,109,Januja Bhatnagar,28,F,0
79,112,Widisha Buch,1,F,0
80,113,Dev Jhaveri,50,M,0
81,114,Anirudh Gole,23,M,0
82,115,Inaya Dalal,35,F,0
83,117,Falguni Som,23,T,0
84,119,Gaurangi Balakrishnan,23,F,0
85,120,Christopher Nanda,33,M,0
86,122,Sara Prakash,41,F,0
87,123,Devansh Balay,35,M,0
88,125,Neelima Dugar,51,F,0
89,125,Jyoti Chadha,27,F,0
90,126,Upadhriti Koshy,28,F,0
91,126,Nihal Saraf,30,M,0
92,127,Ronith Srinivas,38,M,0
93,128,Janani Deo,16,F,0
94,130,Samaksh Goyal,22,M,0
95,131,Reyansh Natarajan,16,M,0
96,132,Baghyawati Varma,38,F,0
97,132,Ati Choudhry,28,F,0
98,133,Bhavna Jayaraman,32,F,0
99,135,Avi Bhatnagar,40,M,0
100,135,Pooja Sethi,55,F,0
101,137,Chaitaly Raman,54,F,0
102,138,Ishani Verma,39,F,0
103,139,Vamakshi Bail,35,F,0
104,140,Tripti Oza,61,F,0
105,141,Vasudha Modi,31,F,0
106,146,George Jha,28,M,0
107,147,Veer Nagarajan,38,M,0
108,148,Ethan Sathe,33,M,0
109,149,Vansha Parikh,19,F,0
110,150,Advay Chacko,6,M,0
111,150,Chameli Vala,43,F,0
112,151,Ethan Sane,9,M,0
113,151,Sanya Pradhan,47,F,0
114,154,Simon Sachdeva,999,M,0
115,155,Aarush Rout,33,M,0
116,156,Ekantika Iyengar,1,F,0
117,157,Karan Mital,41,M,0
118,158,Gaurav Swamy,37,M,0
119,158,Amrita Dar,32,F,0
120,160,Gautami Bera,30,F,0
121,162,Krishna Patil,35,M,0
122,163,Ria Sundaram,31,F,0
123,163,Onkar Gaba,42,M,0
124,165,Yutika Oommen,15,F,0
125,166,Jhalak Mohanty,27,F,0
126,166,Jagrati De,26,F,0
127,167,Anvi Hegde,27,T,0
128,169,Eta Mall,64,F,0
129,170,Yashawini Bir,48,F,0
130,170,Advika Wadhwa,16,F,0
131,171,Aarnav Chaudhary,49,M,0
132,172,Gautam Pant,1,M,0
133,174,Reyansh Mander,42,M,0
134,175,Girindra Boase,30,M,0
135,176,Sai Chaudry,34,M,0
136,179,Samaksh Sundaram,27,M,0
137,181,Hemal Raja,14,F,0
138,182,Vidhi Jaggi,10,F,0
139,183,Onveer Zachariah,54,M,0
140,186,Shivani Lall,35,F,0
141,186,Saanvi Pandit,48,F,0
142,187,Sachi Chatterjee,36,F,0
143,190,Anirudh Sharma,8,M,0
144,190,Shivansh Loke,20,M,0
145,192,Ishanvi Nayar,15,F,0
146,193,Harrison Taneja,45,M,0
147,195,Henry Palan,38,M,0
148,198,Qabil Shere,14,M,0
149,199,Kiaan Mangat,65,M,0
150,201,Harrison Dutta,42,M,0
151,203,Azad Ray,68,M,0
152,204,Yadavi Chana,24,F,0
153,205,Gagan Kala,7,M,0
154,210,Radhika Dara,40,T,0
155,210,Vaishnavi Rama,9,F,0
156,212,Mahika Buch,47,T,0
157,214,Vasana Bala,1,F,0
158,216,Megha Issac,53,F,0
159,219,Falguni Chakraborty,15,F,0
160,219,Harinakshi Dalal,50,F,0
161,220,Girish Lata,1,M,0
162,224,Sanaya Sampath,24,F,0
163,230,Zaid Mand,50,M,0
164,231,Urmi Gala,37,F,0
165,232,Andrew Singhal,56,M,0
166,233,Vaishnavi Parikh,26,F,0
167,234,Hemangini Ganguly,31,F,0
168,236,Ronith Prakash,44,M,0
169,237,Vasana Luthra,11,F,0
170,242,Mohammed Deep,38,M,0
171,243,Wazir Loyal,19,M,0
172,244,Chakradhar Baria,31,M,0
173,244,Vincent Kapur,26,M,0
174,245,Chaaya Sridhar,61,F,0
175,246,Jeet Virk,41,M,0
176,247,Simon Sachar,31,M,0
177,251,Aditya Ahluwalia,29,M,0
178,251,Dalbir Arya,34,M,0
179,253,Girindra Bala,54,M,0
180,257,Jairaj Jaggi,37,M,0
181,258,Aayush Chauhan,30,M,0
182,259,Siddharth Mutti,57,M,0
183,260,Vanya Sarin,30,F,0
184,263,Pranit Sodhi,44,M,0
185,264,Irya Dugar,28,F,0
186,265,Max Keer,17,M,0
187,267,Panini Pant,37,F,0
188,268,Dayamai Cherian,1,T,0
189,268,Anvi Tripathi,49,F,0
190,270,Chavvi Dube,40,F,0
191,271,Onkar Mangat,16,M,0
192,272,Samuel Rout,58,M,0
193,273,Suhani Gala,1,F,0
194,275,Naksh Padmanabhan,24,M,0
195,275,Meera Wable,40,F,0
196,277,Hardik Mitra,23,M,0
197,280,Diya Batta,47,F,0
198,281,Jackson Palla,41,M,0
199,283,Chakradhar Bhatia,30,M,0
200,283,Dhruv Soni,10,M,0
201,284,Kevin Tara,59,M,0
202,285,Xavier Shankar,33,M,0
203,286,Reva Dani,64,F,0
204,292,Ranbir Soman,18,M,0
205,293,Sara Kaul,30,F,0
206,294,Diya Chada,19,F,0
207,296,Oeshi Ratti,62,F,0
208,297,Advik Wable,32,M,0
209,298,Lakshmi Chakraborty,32,F,0
210,299,Robert Chaudhary,42,M,0
211,302,Bachittar Sule,32,M,0
212,303,Ekavir Prakash,59,M,0
213,305,Pushti Kala,32,F,0
214,306,Netra Chakraborty,35,F,0
215,307,Onveer Lal,22,M,0
216,307,Madhavi Korpal,52,F,0
217,308,Aarav Soni,31,M,0
218,308,Aarna Ghose,29,F,0
219,310,Vedhika Prabhakar,49,T,0
220,310,Vamakshi Andra,28,F,0
221,312,Indira Randhawa,59,F,0
222,314,Alka Walia,50,T,0
223,317,Amaira Kara,4,F,0
224,318,Bhavika Chatterjee,24,F,0
225,319,Oliver Krishna,20,M,0
226,319,Chatura Solanki,13,M,0
227,321,Chaman Bhat,43,F,0
228,323,Ati Menon,22,F,0
229,324,Jackson Anne,15,M,0
230,324,Sanaya Shetty,50,F,0
231,325,Gopal Chokshi,1,M,0
232,328,Elijah Din,48,M,0
233,329,Barkha Khanna,28,F,0
234,330,Onkar Gulati,37,M,0
235,330,Vivaan Narula,72,M,0
236,335,Anthony Balan,34,M,0
237,336,Indira Bains,47,F,0
238,337,Omkaar Kade,34,M,0
239,338,Bhavini Dani,60,F,0
240,339,Upadhriti Konda,25,F,0
241,340,Avi Mammen,37,M,0
242,341,Wahab Bhattacharyya,26,M,0
243,342,Wyatt Talwar,12,M,0
244,345,Yochana Pandey,49,F,0
245,347,Timothy Kaur,29,M,0
246,349,Guneet Narayan,18,M,0
247,350,Tamanna Ravi,31,F,0
248,350,Warinder Vala,51,M,0
249,353,Niharika Andra,35,F,0
250,355,Oni Raman,42,F,0
251,358,Mugdha Viswanathan,22,F,0
252,359,Nihal Roy,60,M,0
253,361,Lakshit Jaggi,15,M,0
254,363,Rohan Gill,61,M,0
255,364,Kashvi Dugar,24,F,0
256,366,Hemang Toor,43,M,0
257,367,Anirudh Anne,42,M,0
258,368,Theodore Dey,45,M,0
259,370,Anika Walia,48,F,0
260,371,Ranbir Jaggi,50,M,0
261,373,Chasmum Ganesh,14,F,0
262,374,Dipta Kata,30,F,0
263,375,Hitesh Shanker,25,M,0
264,376,Dalaja Yadav,43,F,0
265,378,Udarsh Raja,66,M,0
266,381,Ishani Barad,55,F,0
267,382,Sarthak Mani,44,M,0
268,383,Keya Jha,53,F,0
269,384,Atharv Dhaliwal,35,M,0
270,387,Harrison Magar,7,M,0
271,389,Garima Subramaniam,4,F,0
272,390,Meghana Prashad,16,F,0
273,392,Rachit Rajagopalan,26,M,0
274,394,Unnati Koshy,33,F,0
275,396,Krishna Edwin,48,F,0
276,397,Siddharth Gandhi,22,M,0
277,404,Saanvi Dash,30,F,0
278,405,Jacob Sridhar,47,M,0
279,407,Watika Solanki,7,F,0
280,410,Suhani Dewan,47,F,0
281,411,Vyanjana Varma,35,F,0
282,411,Ijaya Aggarwal,48,F,0
283,412,Xavier Ratta,47,M,0
284,416,Omisha Rajagopal,15,F,0
285,416,Imaran Kurian,21,M,0
286,417,Bachittar Oza,36,M,0
287,419,Devika Pillai,43,F,0
288,419,Nirja Rai,29,F,0
289,421,Eta Banerjee,32,F,0
290,425,Megha Hayer,23,F,0
291,428,Falak Puri,27,F,0
292,429,Ati Dalal,13,F,0
293,429,Urishilla Dixit,59,F,0
294,432,Abdul Dar,44,M,0
295,433,Mahika Chandra,49,F,0
296,434,Nicholas Bhatt,32,M,0
297,435,Gautam Ahluwalia,43,M,0
298,437,Aachal Kothari,58,F,0
299,439,Anthony Khalsa,41,M,0
300,439,Girindra Dhar,66,M,0
301,443,Urishilla Raghavan,40,F,0
302,444,David Wali,56,M,0
303,447,Damini Dasgupta,38,F,0
304,448,Lohit Madan,31,M,0
305,449,Saksham Sood,56,M,0
306,450,Lila Bera,49,F,0
307,451,Vivaan Thakkar,35,M,0
308,453,Chaman Mangal,42,F,0
309,454,Wriddhish Tank,36,M,0
310,454,Tanmayi Atwal,41,F,0
311,456,Ati Sami,34,F,0
312,458,Warhi Memon,15,F,0
313,459,Vedika Sura,45,F,0
314,467,Oni Balay,21,F,0
315,467,Hardik Srinivas,59,M,0
316,468,Dominic Choudhary,35,M,0
317,468,Aishani Date,10,F,0
318,470,Xavier Butala,30,M,0
319,471,Lekha Kota,42,F,0
320,473,Chakradev Behl,21,M,0
321,474,Jack Kapadia,26,M,0
322,475,Logan Panchal,45,M,0
323,475,Jatin Nagarajan,31,M,0
324,477,Noah Patel,38,M,0
325,477,Quincy Khanna,31,M,0
326,479,Harrison Walla,69,M,0
327,481,Ubika Viswanathan,21,F,0
328,481,Fiyaz Mahal,27,M,0
329,482,Baljiwan Gandhi,50,M,0
330,483,Sai Magar,40,M,0
331,484,Nidra Kannan,32,F,0
332,486,Dalbir Agarwal,40,M,0
333,487,Manan Nair,19,M,0
334,488,Adweta Yogi,21,F,0
335,492,Hemangini Manda,35,F,0
336,493,Ekbal Bora,33,M,0
337,495,Kritika Chacko,40,F,0
338,496,Oni Srinivas,48,F,0
339,499,Frado Choudhary,36,M,0
340,500,Balvan Nath,41,M,0
341,500,Radha Chad,32,F,0
342,501,Priya Chawla,39,F,0
343,503,Bahadurjit Chowdhury,34,M,0
344,505,Yug Samra,28,M,0
345,506,Krisha Rajagopal,17,F,0
346,507,Aarav Jani,39,M,0
347,508,Radha Dewan,25,F,0
348,509,Ayaan Devi,41,M,0
349,517,George Brahmbhatt,2,M,0
350,518,Ria Samra,49,F,0
351,519,Amrita Khatri,45,F,0
352,520,Ijaya Jaggi,8,F,0
353,522,Megha Rao,17,F,0
354,525,Mohini Edwin,33,F,0
355,526,Mohini Parsa,34,F,0
356,528,Yuvraj Chatterjee,28,M,0
357,529,Zaid Chandra,2,M,0
358,531,Leela Solanki,29,F,0
359,532,Dhruv Sastry,14,M,0
360,535,Isaac Rama,34,M,0
361,535,Charita Palla,19,F,0
362,538,Anamika Rai,61,F,0
363,538,Radhika Sani,12,F,0
364,541,Chakradhar Sangha,55,M,0
365,542,Tejas Pant,25,M,0
366,548,Yutika Nayak,23,F,0
367,549,Caleb Chawla,34,M,0
368,550,Yuvraj Chaudhry,53,M,0
369,552,Parth Shetty,60,M,0
370,553,Triya Khurana,15,F,0
371,554,Nathan Nayak,19,M,0
372,556,Jack Chaudhary,22,M,0
373,557,Leena Dutt,43,F,0
374,558,Ganga Bala,35,F,0
375,559,Indali Wason,40,F,0
376,560,Advay Chauhan,45,M,0
377,561,Hemangini Chander,9,F,0
378,562,Alka Sachdev,38,F,0
379,563,Umang Dyal,35,M,0
380,564,Oscar Sule,29,M,0
381,564,Gauri Vig,29,F,0
382,565,Janaki Patla,44,F,0
383,565,Janani Balan,31,F,0
384,566,Priya Menon,26,F,0
385,567,Gopal Krishna,15,M,0
386,568,Udant Sampath,15,M,0
387,570,Ridhi Bhatt,1,F,0
388,570,Fiyaz Bandi,24,M,0
389,572,Bina Kale,26,F,0
390,573,Aashi Narasimhan,47,F,0
391,574,Dalaja Mall,36,F,0
392,575,Aradhana Maharaj,32,F,0
393,576,Jagat Bail,36,M,0
394,577,Andrew Walla,22,M,0
395,579,Nidhi Maharaj,41,F,0
396,580,Ronith Misra,68,M,0
397,581,Charles Naidu,17,M,0
398,582,Atharv Lad,26,M,0
399,583,Ranveer Madan,56,M,0
400,587,Isaiah Chanda,13,M,0
401,588,Bishakha Talwar,13,F,0
402,588,Jagvi Arya,43,T,0
403,593,Kavya Babu,36,F,0
404,594,Vyanjana Wali,18,F,0
405,595,Chaman Pandya,30,F,0
406,596,Reva Chaudhari,16,F,0
407,597,Tarak Chopra,29,M,0
408,599,Isaiah Ravel,12,M,0
409,600,Frederick Jani,64,M,0
410,602,Idika Natarajan,41,F,0
411,605,Krishna Sodhi,40,F,0
412,607,Yagnesh Kulkarni,44,M,0
413,611,Kevin Palla,25,M,0
414,612,Mohammed Halder,1,M,0
415,612,Onveer Das,30,M,0
416,613,Maanav Gaba,43,M,0
417,615,Patrick Acharya,13,M,0
418,618,Sanya Sami,34,F,0
419,621,Jeremiah Deshmukh,26,M,0
420,622,Chasmum Devi,30,F,0
421,624,Shivansh Chakrabarti,70,M,0
422,624,Matthew Kibe,22,M,0
423,625,Aarush Shere,43,M,0
424,625,Avni Chad,27,F,0
425,626,Noah Bhat,36,M,0
426,626,Avi Jayaraman,39,M,0
427,627,Aarush Sundaram,23,M,0
428,628,Jatin Jayaraman,51,M,0
429,629,Netra Ravel,50,F,0
430,631,Mohini Mann,15,F,0
431,631,Xiti Pillai,68,F,0
432,633,Vamakshi Basak,25,F,0
433,636,Wyatt Puri,21,M,0
434,636,Hemangini Tripathi,44,F,0
435,637,Amruta Dutt,41,F,0
436,639,Sanaya Salvi,28,F,0
437,640,Ridhi Balan,48,F,0
438,641,Guneet Krishnan,30,M,0
439,642,Gopal Chadha,53,M,0
440,643,George Wable,40,M,0
441,645,Chaaya Datta,40,F,0
442,647,Baljiwan Warrior,32,M,0
443,650,Ekiya Jayaraman,41,F,0
444,651,Bimala Saha,16,T,0
445,653,Ati Ram,39,F,0
446,655,Gunbir Oza,65,M,0
447,656,Samuel Yadav,46,M,0
448,657,Balvan Bhandari,42,M,0
449,658,Jason Master,33,M,0
450,660,Januja Sawhney,1,F,0
451,661,Zansi Loke,37,F,0
452,662,Ekapad Verma,10,M,0
453,663,Kamya Sarraf,36,F,0
454,664,Rehaan Mital,37,M,0
455,665,Sanaya Sawhney,33,F,0
456,665,Jasmit Jha,5,F,0
457,666,Agastya Nayar,31,M,0
458,667,Chatura Rama,41,M,0
459,671,Anita Parmer,49,F,0
460,673,Yug Datta,26,M,0
461,673,Gagan Din,25,M,0
462,674,Azaan Lad,56,M,0
463,676,Kashish Jani,0,F,0
464,677,Tanay Mandal,35,M,0
465,678,Gaurika Pillay,22,F,0
466,680,Zayan Sahota,43,M,0
467,683,Radhika Buch,37,F,0
468,685,Leena Mangat,12,F,0
469,688,Rishi Sami,29,M,0
470,689,Om Chokshi,18,M,0
471,691,Urvashi Goda,37,F,0
472,692,Rehaan Nagar,31,M,0
473,695,Maanas Lad,42,M,0
474,697,Vasana Merchant,43,F,0
475,697,Darpan Saxena,28,M,0
476,699,Zehaan Nayak,35,M,0
477,700,Nakul Barad,31,M,0
478,702,Ekaja Issac,21,F,0
479,703,Hemal Barad,34,F,0
480,704,Pranav Srivastava,58,M,0
481,706,Sneha Dave,38,F,0
482,707,Nathan Sabharwal,31,M,0
483,708,Xavier Kanda,1,M,0
484,709,Eiravati Zacharia,32,F,0
485,709,Aishani Raghavan,53,F,0
486,711,Hritik Kothari,27,M,0
487,713,David Purohit,37,M,0
488,714,Aishani Aurora,48,F,0
489,715,Nachiket Naik,58,M,0
490,716,Vasudha Jain,1,F,0
491,717,Janya Ray,30,F,0
492,721,Hemang Suri,46,M,0
493,722,Tripti Mukhopadhyay,44,F,0
494,723,Naksh Keer,31,M,0
495,724,Faris Venkatesh,20,M,0
496,725,Yachana Garde,55,F,0
497,728,Zaitra Som,35,F,0
498,730,Vinaya Dugar,18,F,0
499,732,Hemal Lall,35,F,0
500,735,Vyanjana Acharya,33,F,0
501,736,Omisha Mittal,42,F,0
502,737,Nimrat Vig,58,F,0
503,738,Timothy Suri,47,M,0
504,738,Dipta Saran,20,F,0
505,739,Hredhaan Halder,49,M,0
506,740,Guneet Sathe,25,M,0
507,741,Nitesh Chandra,36,M,0
508,742,Wriddhish Rao,15,M,0
509,743,Amruta Sinha,36,F,0
510,744,Damini Barad,19,F,0
511,746,Maya Hari,27,F,0
512,747,Saksham Saha,41,M,0
513,748,Tristan Basu,27,M,0
514,754,Libni Chanda,39,F,0
515,757,Leena Balay,8,F,0
516,759,Damini Parmer,35,F,0
517,759,Gauri Sama,62,F,0
518,761,Advay Sarna,12,M,0
519,764,Akshay Gade,16,M,0
520,765,Avi Chana,38,M,0
521,767,Banjeet Goyal,31,M,0
522,767,Harsh Sarkar,38,M,0
523,770,Prisha Suresh,29,F,0
524,774,Meghana Mukhopadhyay,19,F,0
525,774,Wridesh Banerjee,27,M,0
526,775,Sneha Varughese,55,F,0
527,776,Faris Nagar,18,M,0
528,777,Udyati Bhagat,23,F,0
529,777,Simon Kuruvilla,19,M,0
530,778,Warjas Nayak,31,M,0
531,780,Ira Varma,26,F,0
532,780,Teerth Bava,20,M,0
533,781,Arya Pingle,39,F,0
534,782,Adweta Sekhon,35,F,0
535,784,Pooja Shanker,42,F,0
536,785,Balveer Nazareth,14,M,0
537,787,Ryan Golla,34,M,0
538,788,Dhruv Maharaj,33,M,0
539,789,Nicholas Kant,43,M,0
540,790,Odika Pal,47,F,0
541,791,Amol Brar,47,M,0
542,792,Alexander Dugal,15,M,0
543,794,Siya Kamdar,28,F,0
544,794,Christopher Mann,56,M,0
545,795,Liam Nagarajan,42,M,0
546,795,Damyanti Nadkarni,48,F,0
547,797,Vedika Gera,24,F,0
548,798,Samesh Gulati,37,M,0
549,801,Gaurika Shankar,20,T,0
550,802,Manan Bhattacharyya,45,M,0
551,805,Reyansh Bobal,37,M,0
552,807,Anusha Patla,34,F,0
553,809,Keya Subramanian,25,F,0
554,809,Libni Chatterjee,41,F,0
555,810,Krisha Lad,22,F,0
556,811,Andrew Dey,49,M,0
557,812,Nikita Dutt,25,F,0
558,813,Mugdha Rajagopalan,48,F,0
559,814,William Garde,51,M,0
560,815,Abhimanyu Bhattacharyya,60,M,0
561,816,Zaid Sharaf,39,M,0
562,818,Ayaan Sekhon,18,M,0
563,819,Krisha Kari,53,F,0
564,819,Hema Baria,49,F,0
565,820,Bhavani Johal,77,F,0
566,821,Chavvi Yadav,10,F,0
567,821,Odika Bora,34,F,0
568,822,Mason Andra,59,M,0
569,823,Tanvi Madan,37,F,0
570,824,Zinal Kothari,26,F,0
571,825,Yashoda Singhal,55,F,0
572,827,Jalsa Mohanty,42,F,0
573,828,Charan Mital,21,M,0
574,828,Faras Naik,10,M,0
575,830,Michael Nath,51,M,0
576,830,Nakul Sengupta,40,M,0
577,831,Vedant Mahal,58,M,0
578,832,Naveen Sane,21,M,0
579,834,Gaurika Nanda,72,F,0
580,835,Baghyawati Oommen,24,F,0
581,836,Bina Nair,54,F,0
582,836,Faqid Dora,30,M,0
583,838,Naveen Sidhu,45,M,0
584,838,Victor Pathak,39,M,0
585,841,Yashvi Chahal,24,F,0
586,842,Forum Narayanan,16,F,0
587,845,Zinal Shankar,21,F,0
588,846,Hemangini Chaudhuri,1,F,0
589,847,Jyoti Joshi,32,F,0
590,849,Amara Sawhney,42,F,0
591,856,Mason Karnik,39,M,0
592,858,Bhavani Kadakia,48,F,0
593,859,Faqid Golla,46,M,0
594,859,Dayamai Gaba,43,F,0
595,863,Chakradhar Saini,18,M,0
596,863,Daksh Soni,12,M,0
597,864,Eesha Naidu,22,F,0
598,864,Chasmum Sridhar,36,F,0
599,865,Benjamin Chandran,59,M,0
600,866,Nidhi Narasimhan,34,F,0
601,867,Dominic Narang,23,M,0
602,868,Anika Khanna,40,T,0
603,869,Hredhaan Setty,35,M,0
604,873,Urmi Butala,27,F,0
605,875,Ishwar Wali,59,M,0
606,876,Fitan Kara,11,M,0
607,876,Unnati Jain,6,F,0
608,878,Baljiwan Krishnamurthy,57,M,0
609,880,Shivani Hari,33,F,0
610,880,Parth Bobal,13,M,0
611,881,Tristan Dhar,36,M,0
612,885,Ayush Cheema,32,M,0
613,886,Watika Kibe,43,F,0
614,886,Janya Saraf,35,F,0
615,887,Yochana Raja,35,F,0
616,889,Yutika Barad,20,F,0
617,890,Akshay Shan,8,M,0
618,891,Karan Dyal,73,M,0
619,892,Nitara Mohan,19,F,0
620,893,Parth Nazareth,14,M,0
621,894,Hemal Rao,43,F,0
622,894,Ira Chander,55,F,0
623,895,Panini Walia,40,F,0
624,895,Sneha Deol,29,F,0
625,896,Laksh Bal,48,M,0
626,897,Jairaj Bail,45,M,0
627,898,Sara Lal,16,F,0
628,899,Rachana Bose,42,F,0
629,900,Priya Kapur,35,F,0
630,901,Bachittar Garg,24,M,0
631,902,Peter Bhattacharyya,41,M,0
632,906,Amruta Talwar,9,F,0
633,908,Tanveer Krishnan,62,M,0
634,911,Aadi Wadhwa,28,M,0
635,914,Hema Tripathi,24,F,0
636,915,Fiyaz Chaudhry,54,M,0
637,917,Jatin Pau,39,M,0
638,918,Ayushman Srinivasan,40,M,0
639,920,Urishilla Purohit,32,F,0
640,921,Mitali Bhakta,8,F,0
641,922,Reyansh Guha,40,M,0
642,923,Chavvi Shankar,35,F,0
643,924,Aarnav Khosla,25,M,0
644,925,Quincy Ratti,49,M,0
645,925,Faras Dhar,48,M,0
646,926,Aashi Sagar,20,F,0
647,927,Rudra Barman,34,M,0
648,928,Wishi Bhavsar,46,F,0
649,931,Daksh Karnik,16,M,0
650,932,Timothy Barman,47,M,0
651,935,Jeevika Gour,32,F,0
652,937,Bhavini Rout,24,F,0
653,940,Wakeeta Dua,20,F,0
654,941,Lavanya Dyal,20,F,0
655,943,Dev Pandit,15,M,0
656,944,Sara Sheth,57,F,0
657,945,Jason Kalla,36,M,0
658,946,Vrinda Chopra,43,F,0
659,947,Farhan Rajagopalan,30,M,0
660,949,Andrew Chatterjee,46,M,0
661,951,Forum Kala,16,F,0
662,952,Gagan Mann,30,M,0
663,954,Ethan Saxena,13,M,0
664,955,Vritti Raghavan,50,F,0
665,956,Urvi Gopal,21,F,0
666,957,Bakhshi Goel,4,M,0
667,958,Yug Babu,40,M,0
668,959,Yoshita Bajwa,24,F,0
669,959,Nathaniel Ganesan,5,M,0
670,960,Banjeet Natarajan,16,M,0
671,961,Wahab Rai,20,M,0
672,961,Anita Madan,57,F,0
673,962,Tanvi Oommen,62,F,0
674,962,Prisha Lal,26,F,0
675,963,Odika Upadhyay,38,F,0
676,963,Alka Dave,29,F,0
677,966,Banjeet Grewal,36,M,0
678,967,Jackson Kade,30,M,0
679,972,Janani Sandhu,71,F,0
680,975,Wriddhish Prabhakar,53,M,0
681,976,Girish Kari,38,M,0
682,977,Saksham Sheth,36,M,0
683,977,Varsha Dua,32,F,0
684,978,Falan Ratta,23,M,0
685,979,Champak Babu,30,M,0
686,980,Yadavi Ramanathan,47,F,0
687,981,Ikshita Sur,35,F,0
688,982,Yagnesh Bhasin,4,M,0
689,982,Chatresh Bhavsar,13,M,0
690,984,Darsh Dayal,24,M,0
691,987,Noah Hayer,29,M,0
692,990,Bhanumati Som,11,F,0
693,994,Balveer Pillay,26,M,0
694,995,Farhan Sawhney,30,M,0
695,997,Ati Narain,35,F,0
696,997,Raksha Dhar,47,F,0
697,999,Dalaja Virk,20,F,0
698,1003,Wriddhish Basak,17,M,0
699,1004,Neel Ram,44,M,0
700,1005,Yatan Amble,41,M,0
701,1005,Chaitaly Pillai,35,F,0
702,1006,Oliver Hayre,26,M,0
703,1008,Anvi Ram,42,F,0
704,1009,Jonathan Kalla,49,M,0
705,1011,Veer Raman,24,M,0
706,1013,Abdul Mahal,34,M,0
707,1015,Manthan Banerjee,54,M,0
708,1016,Abhimanyu Chowdhury,29,M,0
709,1017,Bhavika Dua,45,F,0
710,1018,Harita Arya,31,F,0
711,1019,Wakeeta Jain,29,F,0
712,1024,Vinaya Palan,61,F,0
713,1024,Falak Talwar,41,F,0
714,1027,Joshua Gala,43,M,0
715,1028,Ronith Kanda,21,M,0
716,1031,Girish Bajwa,30,M,0
717,1032,Bhavna Kulkarni,18,F,0
718,1032,Dhriti Sami,29,F,0
719,1033,Ishita Modi,60,F,0
720,1036,Jonathan Chanda,42,M,0
721,1037,Wahab Banerjee,32,M,0
722,1037,Nilima Seth,62,F,0
723,1038,Bakhshi Thakkar,21,M,0
724,1041,Hardik Subramaniam,40,M,0
725,1042,Matthew Goswami,37,M,0
726,1043,Gayathri Dewan,3,F,0
727,1045,Vritti Bandi,43,F,0
