ComplainantID,CaseMasterID,ComplainantName,AgeYear,OccupationID,ReligionID,CasteID,GenderID
49,49,Alexander Nori,49,7,2,1,1
50,50,Dalbir Morar,26,5,4,4,1
51,51,Quincy Seth,42,7,2,3,1
52,52,Anjali Jaggi,30,4,3,3,2
53,53,Wyatt Tella,30,7,5,2,1
54,54,Chandran Varty,39,1,2,1,1
55,55,Rishi Vig,37,,2,,1
56,56,Naveen Iyer,45,,1,2,1
57,57,Mekhala Malhotra,34,9,7,2,2
58,58,Falan Dugar,24,7,3,2,1
59,59,Krisha Garg,42,1,4,1,2
60,60,Tanay Ramanathan,33,5,7,1,1
61,61,Ojas Hora,46,2,3,5,1
62,62,Nilima Shroff,34,6,6,3,2
63,63,Utkarsh Sura,26,9,4,5,1
64,64,Pushti Srinivas,26,1,1,4,2
65,65,Devansh Trivedi,45,3,7,3,1
66,66,Sai Sachdev,40,3,6,4,1
67,67,Rehaan Bhatti,30,9,3,1,1
68,68,Vedika Nanda,34,7,3,1,2
69,69,Ranveer Narang,21,5,6,2,1
70,70,Azaan Chana,32,2,2,3,1
71,71,Harshil Nadig,38,1,,4,1
72,72,Eesha Menon,18,9,2,3,2
73,73,Ronith Nadkarni,30,4,,3,1
74,74,Ekiya Guha,43,7,3,4,2
75,75,Mitali Dass,18,9,1,,2
76,76,Aashi Bora,42,3,2,4,2
77,77,Gautam Sha,39,1,6,1,1
78,78,Isaiah Grewal,43,7,7,2,1
79,79,Yamini Luthra,55,8,1,5,2
80,80,Wridesh Buch,41,7,1,1,1
81,81,Chaitanya Korpal,31,1,7,5,1
82,82,Noah Sama,24,4,7,3,1
83,83,Azaan Solanki,48,7,7,5,1
84,84,Edhitha Tiwari,18,2,5,4,2
85,85,Harita Lal,27,7,2,5,2
86,86,Onveer Chad,18,3,4,2,1
87,87,Avni Lalla,43,1,2,1,2
88,88,Wazir Walia,59,4,,5,1
89,89,Abha Mani,55,3,5,5,3
90,90,Lopa Loke,36,7,5,1,2
91,91,Aayush Bir,30,2,6,4,1
92,92,Lucky Krishnamurthy,19,3,7,5,1
93,93,Dipta Chadha,48,8,6,3,2
94,94,Lakshit Sane,45,7,5,,1
95,95,Sara Natarajan,54,3,,4,2
96,96,Thomas Boase,23,4,4,5,1
97,97,Upasna Kamdar,48,1,4,4,2
98,98,Yadavi Dixit,48,8,1,5,3
99,99,Forum Narayan,26,3,5,4,2
100,100,Aadhya Rajagopalan,56,4,6,1,2
101,101,Ayaan Chana,23,9,7,4,1
102,102,Maanav Jain,33,4,5,4,1
103,103,Mason Ramakrishnan,38,6,3,1,1
104,104,Andrew Hans,18,9,1,2,1
105,105,Bhavika Zachariah,41,5,2,5,2
106,106,Ayaan Nazareth,18,9,6,2,1
107,107,Veer Yadav,39,9,6,3,1
108,108,Dhruv Atwal,37,3,4,3,1
109,109,Vasatika Garde,38,4,6,5,2
110,110,Gabriel Nayak,42,3,3,1,1
111,111,Fitan Sarna,40,2,3,1,1
112,112,Riya Dugar,46,1,3,2,2
113,113,Lucky Saha,19,8,1,1,1
114,114,Tripti Khare,37,5,4,2,2
115,115,Shaurya Agrawal,18,4,5,2,1
116,116,Radhika Zacharia,38,2,7,4,2
117,117,Avi Hari,29,7,3,3,1
118,118,Henry Saran,32,1,5,3,1
119,119,Charles Ben,43,7,5,3,1
120,120,Hardik Nanda,43,1,7,4,1
121,121,Irya Prashad,32,8,7,5,2
122,122,Janaki Sha,37,5,4,,2
123,123,Krishna Jain,35,9,5,,1
124,124,Vidhi Shanker,50,2,5,5,2
125,125,Frederick Oza,38,9,3,3,1
126,126,Vedhika Mallick,29,7,5,5,2
127,127,Yashawini Bandi,32,4,1,4,2
128,128,Benjamin Arora,38,2,2,5,1
129,129,Adweta Srinivasan,28,7,5,5,2
130,130,Vasana Sheth,55,9,2,2,2
131,131,Vincent Agarwal,20,7,1,3,1
132,132,Ishita Buch,38,7,2,2,2
133,133,Qadim Peri,25,8,2,1,1
134,134,William Kadakia,26,6,6,3,1
135,135,Yashasvi Sampath,24,8,5,1,2
136,136,Vrinda Wali,52,5,2,2,2
137,137,Girindra Shankar,53,2,5,5,1
138,138,Ethan Taneja,18,7,2,2,1
139,139,Warjas Palan,41,9,6,4,1
140,140,Jack Venkatesh,58,,2,1,1
141,141,Watika Wagle,18,,,5,2
142,142,Maanas Batta,39,,5,1,1
143,143,Fiyaz Dyal,31,3,1,5,1
144,144,Faris Khanna,58,3,7,1,1
145,145,Ansh Nadig,21,9,6,4,1
146,146,Urvi Lad,46,1,3,1,2
147,147,Tanmayi Tata,47,1,7,5,2
148,148,Neelima Som,67,5,2,3,2
149,149,Advik Ratti,41,9,1,1,1
150,150,Indrajit Mall,62,5,5,4,1
151,151,Ayaan Patel,31,2,3,1,1
152,152,Nikita Sehgal,31,4,3,3,2
153,153,Janaki Sawhney,67,1,6,4,2
154,154,Vaishnavi Mani,41,7,,2,2
155,155,Bhavini Prashad,29,6,5,5,2
156,156,Triya Gill,18,3,7,,2
157,157,Amara Agate,36,3,2,4,2
158,158,David Mani,36,7,1,2,1
159,159,Wazir Dar,40,7,3,4,1
160,160,Vedhika Deshmukh,18,7,2,2,2
161,161,Zilmil Bose,42,5,6,2,2
162,162,Neel Mutti,25,5,2,,1
163,163,Ekapad Vasa,26,3,1,5,1
164,164,Devika Deep,25,,2,2,2
165,165,Pratyush Dewan,19,4,2,4,1
166,166,Indrajit Dave,46,2,7,5,1
167,167,Aditya Sule,48,3,6,5,1
168,168,Wahab Dani,35,9,1,1,1
169,169,Parth Balakrishnan,18,6,4,2,1
170,170,Qushi Dyal,43,7,1,3,3
171,171,Gopal Manda,19,1,4,3,1
172,172,George Sarraf,35,7,4,1,1
173,173,Ekansh Tandon,31,5,7,3,1
174,174,Nihal Tak,33,5,2,1,1
175,175,Samar Mannan,44,4,,3,1
176,176,Dipta Dhar,34,5,2,2,2
177,177,Pallavi Iyer,30,3,3,5,2
178,178,Zaid Mallick,31,6,7,2,1
179,179,Ryan Parekh,46,8,3,3,1
180,180,Yuvraj Kashyap,32,1,1,4,1
181,181,Bhavna Tara,34,3,7,2,2
182,182,Balvan Venkatesh,45,1,1,1,1
183,183,Yuvraj Swaminathan,46,5,6,2,1
184,184,Raghav Savant,38,8,7,3,1
185,185,Robert Sura,36,7,5,,1
186,186,Vyanjana Dugar,37,2,3,1,3
187,187,Owen Bala,27,4,3,1,1
188,188,Parth Bhalla,62,7,6,2,1
189,189,Brijesh Bhatti,45,3,5,,1
190,190,Aishani Yohannan,62,7,4,4,2
191,191,Vrinda Bains,25,,5,3,2
192,192,Chandran Suresh,22,6,3,1,1
193,193,Netra Patla,35,9,5,3,2
194,194,Isaiah Chanda,29,,5,5,1
195,195,Zilmil Soman,26,,,3,2
196,196,Harish Sachdeva,32,6,,3,1
197,197,Zaid Kala,39,3,7,,1
198,198,Ayushman Vig,41,6,2,,1
199,199,Bhavika Jani,27,6,1,3,2
200,200,Inaya Bala,28,8,3,5,2
201,201,Tejas Sami,63,3,4,3,1
202,202,Liam Goda,40,5,6,3,1
203,203,Benjamin Murthy,32,9,7,5,1
204,204,Yutika Vohra,49,6,5,3,2
205,205,Ikbal Dhawan,57,4,7,3,1
206,206,Ayaan Swaminathan,51,9,5,5,1
207,207,Dayita Nadig,26,7,6,4,2
208,208,Elijah Patil,48,7,6,1,1
209,209,Anay Bhagat,46,7,7,1,1
210,210,Lajita Rajagopalan,55,2,,4,2
211,211,Shravya Kumer,28,7,2,4,2
212,212,Nathan Ray,48,5,,5,1
213,213,Siddharth Chaudhry,30,7,6,2,1
214,214,Patrick Salvi,48,1,2,1,1
215,215,Michael Murthy,42,1,3,1,1
216,216,Kalpit Ghose,45,6,2,4,1
217,217,Ronith Purohit,36,7,1,3,1
218,218,Lekha Ganguly,48,5,3,1,2
219,219,Sai Sanghvi,43,2,1,,1
220,220,Daniel Kapur,38,9,2,1,1
221,221,Tanveer Jhaveri,24,5,6,4,1
222,222,Gautam Rege,49,6,4,3,1
223,223,Jacob Seshadri,41,3,3,,1
224,224,Neel Rao,47,5,,3,1
225,225,Vrishti Pandya,46,6,7,2,2
226,226,Matthew Rana,27,5,2,3,1
227,227,Kalpit Gara,33,8,5,5,1
228,228,Omkaar Sidhu,42,4,3,2,1
229,229,Ekta Lad,43,,1,4,2
230,230,Nirja Basu,23,2,4,3,2
231,231,Kevin Varughese,18,9,3,1,1
232,232,Avni Karpe,36,1,4,3,2
233,233,Devika Talwar,20,3,2,1,2
234,234,Charita Jani,57,6,5,1,2
235,235,Sathvik Bose,32,7,,5,1
236,236,Agastya Mane,34,1,4,1,1
237,237,Banjeet Sharma,25,2,6,3,1
238,238,Arjun Mandal,60,5,3,3,1
239,239,Chakradhar Rastogi,25,1,2,2,1
240,240,Hemal Khatri,54,1,7,,2
241,241,Finn Rama,47,1,,1,1
242,242,Neha Swaminathan,35,6,5,5,2
243,243,Yash Sehgal,44,,,5,1
244,244,Girik Saraf,47,,7,3,1
245,245,Maanav Sidhu,61,5,1,,1
246,246,Falan Datta,18,2,2,2,1
247,247,Arin Varghese,18,6,2,2,1
248,248,Deepa Shere,37,8,4,4,2
249,249,Naksh Sha,25,6,2,3,1
250,250,Jagvi Goyal,23,7,6,2,2
251,251,Kai Cherian,32,4,1,4,1
252,252,Siya Mittal,30,2,3,2,2
253,253,Girish Choudhury,47,1,3,4,1
254,254,Wridesh Dhillon,18,5,1,1,1
255,255,Caleb Mitra,29,2,4,5,1
256,256,Faraj Saxena,35,3,,5,1
257,257,Vrishti Bahri,21,5,,5,2
258,258,Shivani Behl,31,2,1,5,2
259,259,Jack Bhat,24,1,7,5,1
260,260,Dalbir Talwar,48,9,6,2,1
261,261,Vrinda Padmanabhan,18,2,2,1,2
262,262,Omkaar Sidhu,31,6,2,4,1
263,263,Nandini Ramakrishnan,42,9,4,1,2
264,264,Wyatt Dayal,28,,7,4,1
265,265,Chandresh Sagar,18,7,5,5,1
266,266,Azad Nazareth,53,9,3,4,1
267,267,Jasmit Sur,25,2,3,2,2
268,268,Aryan Sarma,59,,2,,1
269,269,Geetika Dalal,34,3,1,4,2
270,270,Timothy Toor,22,1,4,4,1
271,271,Aarush Korpal,42,6,6,1,1
272,272,Jhalak Devi,42,1,3,5,2
273,273,Brijesh Nigam,62,9,7,4,1
274,274,Faqid Bhardwaj,27,5,7,2,1
275,275,Ubika Ratti,31,6,5,4,2
276,276,Saksham Sehgal,43,3,6,4,1
277,277,Timothy Pai,50,8,6,3,1
278,278,Jalsa Chander,24,3,5,3,2
279,279,Akshay Zacharia,32,4,6,4,1
280,280,Quincy Lad,40,2,2,5,1
281,281,Vasana Nori,32,8,6,5,2
282,282,Yauvani Hans,33,2,2,2,3
283,283,Unnati Sabharwal,58,3,4,4,3
284,284,Saksham Venkataraman,47,7,7,2,1
285,285,Finn Dhawan,60,5,6,1,1
286,286,Warjas Bali,31,6,,1,1
287,287,Maanav Baria,25,2,2,3,1
288,288,Ridhi Mitter,29,,,2,2
289,289,Xavier Bala,70,8,7,5,1
290,290,Gavin Suresh,31,1,,2,1
291,291,Divya Palla,29,8,3,2,2
292,292,Nilima Sethi,29,,6,1,2
293,293,Omaja Chakraborty,52,3,3,5,2
294,294,Gayathri Bakshi,51,2,5,2,2
295,295,Aditya Maharaj,27,5,7,4,1
296,296,Jason Sawhney,47,3,4,2,1
297,297,Tejas Gole,24,9,7,2,1
298,298,Mekhala Dhawan,32,2,3,1,3
299,299,Agastya Bhardwaj,25,,7,4,1
300,300,Ekta Sachar,47,3,4,3,2
301,301,Jagat Tailor,29,,2,1,1
302,302,Nathan Shetty,33,7,2,2,1
303,303,Udant Chacko,30,2,1,2,1
304,304,Vincent Mann,46,7,3,3,1
305,305,Madhavi Krishna,42,6,6,1,2
306,306,Aradhana Edwin,28,5,1,1,2
307,307,Tarak Kade,25,,,,1
308,308,Nitesh Babu,58,3,,3,1
309,309,Tristan Dasgupta,32,5,3,4,1
310,310,Hema Anand,44,4,7,3,2
311,311,Janya Kaur,52,7,6,5,2
312,312,Yatin Kadakia,31,9,1,3,1
313,313,Frederick Hari,34,3,3,1,1
314,314,Yutika Mahal,20,,4,3,2
315,315,Atharv Naidu,39,5,1,1,1
316,316,Liam Salvi,28,2,1,2,1
317,317,Gunbir Natt,53,2,5,1,1
318,318,Fitan Narayan,29,8,1,5,1
319,319,Wakeeta Sankaran,67,3,4,3,2
320,320,Onkar Bhagat,18,3,6,2,1
321,321,Charvi Sekhon,18,,6,4,2
322,322,Eesha Bhatia,34,9,5,,2
323,323,Bhavini Chaudry,40,9,,4,2
324,324,Sai Char,53,3,2,5,1
325,325,Utkarsh Varughese,50,5,1,3,1
326,326,Dev Upadhyay,32,4,5,5,1
327,327,Ekapad Basu,42,4,4,3,1
328,328,Yashvi Parmar,41,2,1,2,2
329,329,Qarin Anand,49,3,4,,1
330,330,Irya Jaggi,52,3,3,3,2
331,331,Finn Cheema,33,3,7,3,1
332,332,Vidhi Kala,30,4,1,2,2
333,333,Aarush Patil,30,9,1,3,1
334,334,Deepa Dhar,41,5,7,3,2
335,335,Thomas Hayer,21,1,3,5,1
336,336,Omkaar Korpal,65,8,6,4,1
337,337,Ekapad Raghavan,22,9,6,4,1
338,338,Quincy Garg,22,1,1,5,1
339,339,Ranbir Prasad,47,8,1,,1
340,340,Falan Narang,49,1,5,2,1
341,341,Yash Kadakia,44,3,3,4,1
342,342,Gaurav Nagy,54,8,4,1,1
343,343,Upkaar Keer,39,7,6,4,1
344,344,Ranbir Dugar,50,6,4,2,1
345,345,Brijesh Merchant,28,4,7,3,1
346,346,Yuvraj Nadig,40,7,3,1,1
347,347,Sai Bakshi,49,5,5,5,2
348,348,Manya Kari,37,1,6,,2
349,349,Anjali Iyer,29,4,2,5,2
350,350,Netra Manda,32,6,4,2,2
351,351,Henry Som,20,5,,3,1
352,352,Chaman Munshi,30,1,6,2,2
353,353,Rachit Dewan,24,5,6,4,1
354,354,Ubika Sandal,30,9,6,5,2
355,355,Anamika Dewan,36,7,5,3,2
356,356,Darika Narasimhan,29,6,,5,2
357,357,Charles Goel,25,6,1,4,1
358,358,Lucky Jha,36,4,4,2,1
359,359,Yochana Apte,39,4,5,1,2
360,360,Ubika Sridhar,45,3,7,1,2
361,361,Isha Thakkar,39,6,4,2,2
362,362,Yatan Sharma,18,,3,1,1
363,363,Vedant Palan,33,7,,2,1
364,364,Champak Ramaswamy,30,8,6,1,1
365,365,Raksha Bose,41,2,7,3,2
366,366,Umang Gala,42,7,4,1,1
367,367,Ryan Hayer,42,2,5,2,1
368,368,Bhavna Butala,30,2,2,1,2
369,369,Manan Dash,24,8,5,5,1
370,370,Rachita Gokhale,45,6,4,4,2
371,371,Ati Agrawal,38,9,,1,2
372,372,Chakradev Babu,62,5,7,2,1
373,373,Inaya Bhatnagar,36,8,5,3,2
374,374,Hemang Rana,41,4,1,2,1
375,375,Nakul Arora,41,,5,4,1
376,376,Tripti Mitra,50,1,3,5,2
377,377,Rishi Deol,51,3,2,2,1
378,378,Bhavna Nayak,51,3,,3,2
379,379,Jagat Sangha,54,6,5,4,1
380,380,Ridhi Tara,50,6,7,4,2
381,381,Harrison Doshi,63,5,7,1,1
382,382,Maya Nadkarni,24,1,2,3,2
383,383,Jyoti Narula,42,7,5,2,2
384,384,Xalak Boase,20,9,2,2,2
385,385,Ishani Keer,35,9,7,4,2
386,386,Gayathri Hora,40,9,6,3,2
387,387,Max Mangal,25,7,2,1,1
388,388,Ranbir Ganesh,46,4,5,1,1
389,389,Urvi Sami,24,4,4,3,2
390,390,Vincent Mohan,22,6,5,1,1
391,391,Ikshita Agrawal,36,4,6,2,2
392,392,Samaksh Sagar,42,,1,,1
393,393,Lakshmi Pall,64,,1,4,2
394,394,Qarin Bhardwaj,42,7,1,3,1
395,395,Waida Banerjee,46,9,7,3,2
396,396,Vedant Din,29,7,7,2,1
397,397,Rushil Buch,21,8,1,,1
398,398,Jonathan Mittal,55,8,1,3,1
399,399,Lipika Kadakia,32,9,7,5,2
400,400,Bakhshi Sahni,40,2,3,3,1
401,401,Ekani Hora,35,6,7,1,2
402,402,Hemani Thakkar,41,1,7,2,2
403,403,Inaya Lad,50,2,6,5,2
404,404,Chaaya Memon,44,7,3,5,2
405,405,Bhavika Oommen,20,8,4,4,2
406,406,Chandresh Andra,18,2,3,4,1
407,407,Riya Venkatesh,37,6,5,4,2
408,408,Onveer Murty,35,8,4,2,1
409,409,Ayush Parekh,43,1,4,2,1
410,410,Chandresh Aggarwal,48,5,2,3,1
411,411,Kritika Pillay,34,4,7,1,2
412,412,Nicholas Sawhney,42,3,6,3,1
413,413,Owen Sangha,27,9,7,3,1
414,414,Devansh Tank,47,9,2,1,1
415,415,Jai Kohli,51,7,6,4,1
416,416,Teerth Balakrishnan,25,8,2,3,1
417,417,Chakradev Natarajan,41,5,2,5,1
418,418,Rayaan Sarkar,56,6,6,4,1
419,419,Chanchal Oak,26,7,1,2,2
420,420,Rajata Date,53,8,2,5,2
421,421,Vedant Din,32,4,3,1,1
422,422,Laksh Sridhar,35,8,3,5,1
423,423,Henry Kar,64,4,1,3,1
424,424,Shivani Nazareth,22,7,3,3,2
425,425,Shivani Bora,51,7,5,2,2
426,426,Avi Modi,38,1,4,1,1
427,427,Warhi Manne,48,1,3,5,2
428,428,Aayush Pathak,68,3,1,5,1
429,429,Pranav Som,50,6,5,3,1
430,430,Jason Bandi,44,2,6,4,1
431,431,Nidhi Gera,27,1,5,1,2
432,432,Mahika Saxena,45,,7,3,2
433,433,Isaiah Bajaj,46,4,7,3,1
434,434,Neha Dass,27,7,7,3,2
435,435,Ishita Dalal,63,3,6,5,2
436,436,Caleb Kunda,23,4,3,,1
437,437,Qabil Garg,33,3,3,2,1
438,438,Tristan Dey,64,7,2,5,1
439,439,Yashodhara Kadakia,25,2,6,,2
440,440,Rachita Mall,22,6,7,4,2
441,441,Leena Raj,52,5,6,2,3
442,442,Sudiksha Shan,40,6,1,3,2
443,443,Shaurya Dube,46,2,2,1,1
444,444,Jatin Brahmbhatt,43,1,3,2,1
445,445,Chanchal Patil,45,,2,,2
446,446,Laban Dhingra,40,5,4,1,1
447,447,Saanvi Kapadia,44,,2,4,2
448,448,Charvi Wadhwa,32,1,3,2,3
449,449,Robert Golla,60,8,7,3,1
450,450,Dev Dhar,40,8,1,,1
451,451,Hemani Sarna,29,9,5,1,2
452,452,Michael Chahal,53,7,1,1,1
453,453,Charita Gandhi,40,4,1,1,2
454,454,Aashi Samra,38,7,6,1,2
455,455,Udarsh Ganguly,21,,3,3,1
456,456,Ekani Varkey,57,2,,3,3
457,457,Sachi Garde,53,9,4,2,2
458,458,Daniel Mannan,38,7,1,1,1
459,459,Ikbal Mody,44,3,2,5,1
460,460,Rachana Ahuja,67,4,4,5,2
461,461,Girik Ratti,18,4,3,5,1
462,462,Yatan Hora,47,9,7,,1
463,463,Yagnesh Amble,44,7,7,5,1
464,464,Ladli Kara,29,6,1,,2
465,465,Rajata Sangha,28,6,5,4,3
466,466,Peter Saraf,34,9,7,,1
467,467,Ekani Rana,55,6,2,2,2
468,468,Ryan Thaker,43,8,,,1
469,469,Orinder Tella,58,2,2,5,1
470,470,Wriddhish Mann,18,,5,4,1
471,471,Jeet Mand,49,4,6,5,1
472,472,Falguni Karnik,28,1,5,2,2
473,473,Tanay Badami,46,4,4,5,1
474,474,Samar Vohra,19,1,2,2,1
475,475,Dayamai Luthra,73,,1,1,3
476,476,Chandresh Sankar,37,6,1,4,1
477,477,Chanakya Arya,33,1,4,1,1
478,478,Chatresh De,45,7,5,1,1
479,479,Pavani Mitra,55,,3,4,3
480,480,Ubika Krishnan,38,7,4,1,2
481,481,Tejas Bir,51,1,1,4,1
482,482,Girish Rao,49,1,7,4,1
483,483,Yashoda Rajagopalan,48,,,1,2
484,484,Zayan Vohra,25,5,7,2,1
485,485,Krish Dani,24,1,2,3,1
486,486,Ati Kothari,25,4,1,5,2
487,487,Libni Deol,64,9,6,1,2
488,488,Meera Goda,38,6,5,2,2
489,489,Lipika Jani,34,6,1,5,2
490,490,Urishilla Pillay,34,2,2,4,2
491,491,Gautam Sharaf,41,5,7,5,1
492,492,Gaurang Gulati,45,4,2,2,1
493,493,Ronith Guha,40,1,4,2,1
494,494,Daksha Vyas,49,8,1,2,2
495,495,Abeer Bassi,18,1,3,3,1
496,496,Tristan Gade,27,1,5,,1
497,497,Charan Minhas,21,6,1,3,1
498,498,Jasmit Bajwa,40,9,7,3,2
499,499,Sanaya Chowdhury,42,6,2,1,2
500,500,Charan Manda,50,4,3,1,1
501,501,Falan Mitra,46,2,7,1,1
502,502,Balvan Agate,48,1,6,1,1
503,503,Robert Sekhon,40,5,4,,1
504,504,Ojasvi Datta,69,7,2,4,2
505,505,Reyansh Pandit,21,3,2,4,1
506,506,Triveni Nath,32,4,5,2,2
507,507,Caleb Keer,25,2,5,5,1
508,508,Dayamai Bhasin,52,4,1,1,2
509,509,Jairaj Kade,37,2,6,4,1
510,510,Gaurangi Balan,39,6,5,1,2
511,511,Vrinda Dey,52,5,3,2,2
512,512,Vamakshi Arya,56,4,3,5,2
513,513,Anamika Ghose,44,5,6,4,2
514,514,Abdul Randhawa,57,5,7,4,1
515,515,Utkarsh Kuruvilla,49,9,1,1,1
516,516,Madhavi Chanda,37,7,3,4,2
517,517,Baghyawati Kanda,37,1,3,2,2
518,518,Sachi Gala,36,8,2,5,2
519,519,Balvan Patil,18,3,7,,1
520,520,Hitesh Apte,21,1,2,5,1
521,521,Anthony Sule,39,8,5,5,1
522,522,Nilima Anand,32,1,1,4,2
523,523,Eiravati Chatterjee,38,5,6,2,2
524,524,Tanvi Thakur,40,1,6,4,2
525,525,Sai Sood,43,,1,5,2
526,526,Udarsh Deep,28,4,7,1,1
527,527,Anmol Ram,46,9,3,1,1
528,528,Hemang Borde,35,3,7,2,1
529,529,Ekbal More,49,,1,3,1
530,530,Faris Bir,18,8,1,3,1
531,531,Balendra Gola,41,8,5,4,1
532,532,Mekhala Rattan,40,,7,1,2
533,533,Lekha Basak,52,8,,5,2
534,534,Charles Mannan,28,5,4,4,1
535,535,Gauri Rastogi,44,3,6,5,2
536,536,Chatura Ranganathan,48,5,2,3,1
537,537,Bachittar Nadig,33,3,6,5,1
538,538,Elijah Kala,55,7,2,2,1
539,539,Advay Sampath,44,8,2,3,1
540,540,Upkaar Saini,32,2,,4,1
541,541,Kai Gour,28,8,2,5,1
542,542,Vyanjana Wason,37,9,6,2,2
543,543,Falak Tata,37,4,4,3,2
544,544,Aarav Seshadri,48,6,7,2,1
545,545,Ikbal Guha,31,1,6,2,1
546,546,Owen Kadakia,25,4,5,2,1
547,547,Abhiram Mittal,40,2,5,3,1
548,548,Qushi Pandey,18,2,4,1,2
549,549,Urmi Mander,36,2,3,1,2
550,550,Abhiram Sabharwal,36,5,6,3,1
551,551,Ucchal Kakar,29,6,7,4,2
552,552,Guneet Singh,41,3,5,5,1
553,553,Lipika Lalla,38,2,5,4,2
554,554,Amara Dube,32,3,1,5,2
555,555,Upadhriti Dave,38,2,6,4,2
556,556,Yauvani Dutt,27,,1,4,2
557,557,Yashawini Dani,46,4,,2,2
558,558,Agastya Sarkar,29,,3,1,1
559,559,Kashvi Kapadia,58,6,7,1,2
560,560,Laksh Butala,19,6,3,4,1
561,561,Ekta Mandal,24,6,5,1,2
562,562,Rohan Chaudhuri,47,6,5,5,1
563,563,Ubika Prashad,43,7,7,2,2
564,564,Anamika Dalal,51,9,6,3,2
565,565,Advay Vasa,67,4,6,1,1
566,566,Warda Iyengar,27,9,4,1,2
567,567,Yachana Sarin,58,4,7,4,2
568,568,Ishanvi Sura,25,4,1,4,2
569,569,Nathaniel Chokshi,19,8,7,4,1
570,570,Tanish Iyengar,35,8,3,5,1
571,571,Sneha Balan,39,4,1,5,2
572,572,Girik Parmar,60,4,5,1,1
573,573,Darsh Andra,60,7,4,2,1
574,574,Jagvi Vyas,32,2,1,1,2
575,575,Aryan Tak,29,3,3,5,1
576,576,Frederick Narain,18,5,6,1,1
577,577,Meghana Deep,18,8,6,5,2
578,578,Om Babu,53,,5,3,1
579,579,Vrinda Chandran,34,3,5,2,2
580,580,Naksh Tak,37,,7,2,1
581,581,Arjun Anne,38,6,7,1,1
582,582,Girish Pillay,18,8,3,3,1
583,583,Baljiwan Lalla,46,2,5,2,1
584,584,Ekapad Sharma,41,3,7,2,1
585,585,Triveni Sekhon,22,8,7,1,2
586,586,Jai Sridhar,37,6,3,2,1
587,587,Meera Nagy,33,6,5,1,2
588,588,Keya Jha,55,5,6,2,2
589,589,Vinaya Rajan,48,6,3,1,2
590,590,Nimrat Setty,56,6,2,2,2
591,591,Varsha Varghese,51,3,5,1,2
592,592,Liam Sampath,27,5,5,5,1
593,593,Vedhika Chhabra,31,2,1,1,2
594,594,Girik Loke,51,1,2,2,1
595,595,Patrick Lanka,41,,6,5,1
596,596,Avi Sastry,18,9,4,2,1
597,597,Hema Majumdar,38,1,,5,2
598,598,Dakshesh Bera,33,4,6,1,1
599,599,Zinal Chaudhuri,50,8,1,2,2
600,600,Lipika Tandon,76,9,2,1,2
601,601,Champak Goyal,40,2,5,1,1
602,602,Nakul Boase,18,3,2,5,1
603,603,Tanish Natt,55,8,7,3,1
604,604,Harinakshi Andra,34,2,4,5,2
605,605,Vritti Agarwal,48,8,3,3,2
606,606,Ethan Chandra,50,,7,4,1
607,607,Yatan Panchal,18,5,,3,1
608,608,Nidhi Nath,36,5,7,2,2
